record_key,source_dataset,source_record_id,exclusion_reason
REC:896c1bc2d760513b19ceb7aadb548238570eb4a068bfd51b88f69b15e849c16f,ccris,1000:no_carcinogenicity,无致癌性试验记录
REC:1cef71be1d097764072832bc450b3a22ce7891cf39f3d4f3107be1fff6dc760a,ccris,1001:no_carcinogenicity,无致癌性试验记录
REC:4cb465fd497f2420f4632240bb6958643409b41620f73f67cf438e2c7e6f435e,ccris,1003:no_carcinogenicity,无致癌性试验记录
REC:8d45550f23d1d27ec7644c39920118976ec2c4676c151caa088b7aca4364b9c2,ccris,1004:no_carcinogenicity,无致癌性试验记录
REC:db3d9b907110d4a31d9bcfba036b8f3153d4aad1a18c48e62bd2de1dcf16dfda,ccris,1005:no_carcinogenicity,无致癌性试验记录
REC:254c15278a1fcd4ea7bf18bb9049c2be3d6ea28d3866459fbabc3cad128984fd,ccris,1006:no_carcinogenicity,无致癌性试验记录
REC:dc28365969016e7d31662f061c5957b3a9c9c751d720fea112249511ca3fe3e3,ccris,1008:no_carcinogenicity,无致癌性试验记录
REC:8f21dee04001f5f970474d2b8c792933108951a52397202c017565f07eab9fc1,ccris,1009:no_carcinogenicity,无致癌性试验记录
REC:bd4a48d4164b86dadf4cae29b058e00ff9b110eed42dd65cdebf2455c392f450,ccris,1013:no_carcinogenicity,无致癌性试验记录
REC:32749a278fce23b3e76270c0381791317b3e77b1f54357bc65c48ca90c6b9698,ccris,1014:no_carcinogenicity,无致癌性试验记录
REC:99aecb819b585aa440835cf475478ed013830f1f675347e20a78891f8accd22c,ccris,1016:no_carcinogenicity,无致癌性试验记录
REC:4f9ab4873fac0fa4f090ea8fbf3b400c928e3f739909b637db86c183c8bd671c,ccris,1017:no_carcinogenicity,无致癌性试验记录
REC:039aaef07fd094f102f454614434e7541a8876ef0798b8e40871380d62bfdd44,ccris,1018:no_carcinogenicity,无致癌性试验记录
REC:beea3078512d599a9e8833ff7b31d15a321d3e69f4d732e0c1bf8e477166ae09,ccris,1019:no_carcinogenicity,无致癌性试验记录
REC:cf7714dd128c30cd6a257dccb4ef51e9dc186ed37748efe89c9849451e566b12,ccris,1020:no_carcinogenicity,无致癌性试验记录
REC:4b3d9895410d1000b4085ab403c03095d2d993bd312dba4729e8512f86259b57,ccris,1023:no_carcinogenicity,无致癌性试验记录
REC:1ea81e393896c86efd46ae592e4125717ccd36ce5aa7520909265f2b145b3aaf,ccris,1026:no_carcinogenicity,无致癌性试验记录
REC:d3c1cb07756baf114f670337aaf9c3e61a914752243a1d3dd047ffdeb008e18d,ccris,1028:no_carcinogenicity,无致癌性试验记录
REC:21121e6bd5406a6f09fc7a047635b158379a0e349eed0daaf102c000a6de103c,ccris,1029:no_carcinogenicity,无致癌性试验记录
REC:f4e0e97d6a6e8bf7351d8f630f50405e3afe02fd783141776f66f95779c83d5d,ccris,102:cstu:1,no_standardized_key
REC:f4e0e97d6a6e8bf7351d8f630f50405e3afe02fd783141776f66f95779c83d5d,ccris,102:cstu:1,来源结构状态不可接受：unresolved
REC:0bf110b8ba593e717d75b5a94bcdcd0568cf004354d9a692a01d95ecd44d620a,ccris,102:cstu:10,no_standardized_key
REC:0bf110b8ba593e717d75b5a94bcdcd0568cf004354d9a692a01d95ecd44d620a,ccris,102:cstu:10,来源结构状态不可接受：unresolved
REC:8d39d9ad02deec89ed86972df0aba34b23cb2c7b7e42ba79db91e4e3d3122b24,ccris,102:cstu:11,no_standardized_key
REC:8d39d9ad02deec89ed86972df0aba34b23cb2c7b7e42ba79db91e4e3d3122b24,ccris,102:cstu:11,来源结构状态不可接受：unresolved
REC:af0d5484e12290194911f156091a4707f2d878af364912c88bdbf92f55d07fcd,ccris,102:cstu:12,no_standardized_key
REC:af0d5484e12290194911f156091a4707f2d878af364912c88bdbf92f55d07fcd,ccris,102:cstu:12,来源结构状态不可接受：unresolved
REC:533e9e3ff841ebeeb3ddd96e2be4897b8cf3e1a35ef6c1b97227da960b120758,ccris,102:cstu:13,no_standardized_key
REC:533e9e3ff841ebeeb3ddd96e2be4897b8cf3e1a35ef6c1b97227da960b120758,ccris,102:cstu:13,来源结构状态不可接受：unresolved
REC:c25cb59e21971a6b0826816f43299f232f20deb7ccb423e516e9820192f51641,ccris,102:cstu:14,no_standardized_key
REC:c25cb59e21971a6b0826816f43299f232f20deb7ccb423e516e9820192f51641,ccris,102:cstu:14,来源结构状态不可接受：unresolved
REC:d35d0d82921e8e8ddcbbeda139d2333216217e13e7573dd64a76ae1455bef287,ccris,102:cstu:15,no_standardized_key
REC:d35d0d82921e8e8ddcbbeda139d2333216217e13e7573dd64a76ae1455bef287,ccris,102:cstu:15,来源结构状态不可接受：unresolved
REC:a444b29a1b2f45dbc4df3d0d751f3b51fca462af48d35eae7dcaeef1437a46d7,ccris,102:cstu:16,no_standardized_key
REC:a444b29a1b2f45dbc4df3d0d751f3b51fca462af48d35eae7dcaeef1437a46d7,ccris,102:cstu:16,来源结构状态不可接受：unresolved
REC:a3ba2faf58649bb1060d1b9e600dbff23e4ca2f5fc45307b5d1aabc1bbc73a39,ccris,102:cstu:17,no_standardized_key
REC:a3ba2faf58649bb1060d1b9e600dbff23e4ca2f5fc45307b5d1aabc1bbc73a39,ccris,102:cstu:17,来源结构状态不可接受：unresolved
REC:ab20ab437579a561be23e58ef5b8b9fba8671583c2a309d947ee96405dc2d536,ccris,102:cstu:18,no_standardized_key
REC:ab20ab437579a561be23e58ef5b8b9fba8671583c2a309d947ee96405dc2d536,ccris,102:cstu:18,来源结构状态不可接受：unresolved
REC:aad897c0db32cd221ef25b0079f23104aad568b83a76a9fc2888d6ec0d255329,ccris,102:cstu:19,no_standardized_key
REC:aad897c0db32cd221ef25b0079f23104aad568b83a76a9fc2888d6ec0d255329,ccris,102:cstu:19,来源结构状态不可接受：unresolved
REC:f167c402a1dbd95d7abd3503eea5e4afabdf6f0b33ad4c67bab3a878b7c48a93,ccris,102:cstu:2,no_standardized_key
REC:f167c402a1dbd95d7abd3503eea5e4afabdf6f0b33ad4c67bab3a878b7c48a93,ccris,102:cstu:2,来源结构状态不可接受：unresolved
REC:09df324f7bf4a5629f33f1e6bbd0f9ed873144cae4adb25afeee0c069154ac57,ccris,102:cstu:20,no_standardized_key
REC:09df324f7bf4a5629f33f1e6bbd0f9ed873144cae4adb25afeee0c069154ac57,ccris,102:cstu:20,来源结构状态不可接受：unresolved
REC:86ac17a7156b85b9443a426dd7cbca2f4f89179d49c5d0f1aeae0eadb6257a70,ccris,102:cstu:21,no_standardized_key
REC:86ac17a7156b85b9443a426dd7cbca2f4f89179d49c5d0f1aeae0eadb6257a70,ccris,102:cstu:21,来源结构状态不可接受：unresolved
REC:61f0e34cf2e5bbf09a270730daa0f5cb5dacfed24fd0cd2cfe15d62de5ba373d,ccris,102:cstu:22,no_standardized_key
REC:61f0e34cf2e5bbf09a270730daa0f5cb5dacfed24fd0cd2cfe15d62de5ba373d,ccris,102:cstu:22,来源结构状态不可接受：unresolved
REC:703482859cda7123caedfc375e490664a65b4bdb3f20fe1fe5b8d35314964612,ccris,102:cstu:23,no_standardized_key
REC:703482859cda7123caedfc375e490664a65b4bdb3f20fe1fe5b8d35314964612,ccris,102:cstu:23,来源结构状态不可接受：unresolved
REC:2c26d7f89860297a7238957b1a9aca6a875049588acc7f2701a5dd1de4034146,ccris,102:cstu:3,no_standardized_key
REC:2c26d7f89860297a7238957b1a9aca6a875049588acc7f2701a5dd1de4034146,ccris,102:cstu:3,来源结构状态不可接受：unresolved
REC:2718949f8bc761003f9b052d8e78a9588dc527c95d889047cf99fa2f138d9987,ccris,102:cstu:4,no_standardized_key
REC:2718949f8bc761003f9b052d8e78a9588dc527c95d889047cf99fa2f138d9987,ccris,102:cstu:4,来源结构状态不可接受：unresolved
REC:3a63173b99e843acca2e807dd0271b886202e5ff2bb23999d6aeffec4ce99193,ccris,102:cstu:5,no_standardized_key
REC:3a63173b99e843acca2e807dd0271b886202e5ff2bb23999d6aeffec4ce99193,ccris,102:cstu:5,来源结构状态不可接受：unresolved
REC:b9fc31bd16d908afd5116418003711f566f1623a10951b9360732d9c8e9dec87,ccris,102:cstu:6,no_standardized_key
REC:b9fc31bd16d908afd5116418003711f566f1623a10951b9360732d9c8e9dec87,ccris,102:cstu:6,来源结构状态不可接受：unresolved
REC:c52667d88e43b205060fd2ab5b4c7b24ca3313efb3b3c40097d28b806d52badf,ccris,102:cstu:7,no_standardized_key
REC:c52667d88e43b205060fd2ab5b4c7b24ca3313efb3b3c40097d28b806d52badf,ccris,102:cstu:7,来源结构状态不可接受：unresolved
REC:a08dd3295157bf894c81138da7ddea66ad559a8f28921a6f883866f2565bc2f5,ccris,102:cstu:8,no_standardized_key
REC:a08dd3295157bf894c81138da7ddea66ad559a8f28921a6f883866f2565bc2f5,ccris,102:cstu:8,来源结构状态不可接受：unresolved
