external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,TAU:a46f45358ba0dff57878554444af6a003d9edff4e0bd02fc87bc17aa6af300e6,"[""CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N""]",false,false
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,TAU:6c3ab219e671060563e03a8b81466fe543c00dfbfda1b259ed79ea3bf9a156eb,"[""CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N""]",false,false
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,TAU:41cf93705215b50f58d61a0c0710ef4618973e882503b5b30ab2924f994042cb,"[""CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N""]",false,false
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,TAU:c50a026a700eed75b8dcb0d3fa481e4250820581ef5d8e76605f3b45caa7741d,"[""CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N""]",false,false
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,TAU:56079f7d8c304aa14bdbcda94b1e762ac610dae8c0e687becf9066795c69b3e0,"[""CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N""]",false,false
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,TAU:4522579d8485e81561d50b649c21cd8e7b39a26068fc7a8701dd138ccacfea1b,"[""CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N""]",false,false
CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N,TAU:967c335e87794f94b01f9a86b3dca46d39c36f54f8e3ab8625fdf36c5bbca11c,"[""CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N""]",false,false
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,TAU:65fc41d07642e3341d16741354a6e7fae1c4b006cb8e9743d273cc08c8e9ed21,"[""CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N""]",false,false
CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,TAU:8d2b372402db4eabc6bcac38026a25a46a68f5d82ce6e12f6981e856e44ba4c4,"[""CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N""]",false,false
CMP:AIPSXDXZFKITIG-JNQJZLCISA-N,TAU:8dd2a5329838e22e197f8657430b5572428a0fede521e09856361953512fa1d6,"[""CMP:AIPSXDXZFKITIG-JNQJZLCISA-N""]",false,false
CMP:AJOQSQHYDOFIOX-UHFFFAOYSA-N,TAU:bbc2c6b3b4250414952763150589bac5edd957bfa9a3f9e97e9b6f1b48e99672,"[""CMP:AJOQSQHYDOFIOX-UHFFFAOYSA-N""]",false,false
CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N,TAU:b5bc3c2f7ca3b2ee464527fe4189b5121eec9193da1a9fe83f7e829eafd370ff,"[""CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N""]",false,false
