comparison_split,descriptor,smd,smd_status,ks_statistic,ks_pvalue,test_status
validation,aromatic_ring_count,-0.069026981426522638,ok,0.025844594594594594,0.99991383189951899,ok
validation,crippen_logp,-0.055950767748267863,ok,0.064504994124559345,0.54374426367063478,ok
validation,hba,-0.044589789024508893,ok,0.055192420681551113,0.7326807207281425,ok
validation,hbd,-0.093295113690434597,ok,0.026461515863689777,0.99985819443147572,ok
validation,heavy_atom_count,-0.046696050219493329,ok,0.063675088131609867,0.56043245947343645,ok
validation,molecular_weight,-0.06391299799215823,ok,0.064798766157461815,0.53797214451378028,ok
validation,ring_count,-0.034238188313409669,ok,0.020556698002350177,0.99999978865997541,ok
validation,rotatable_bonds,-0.0770650562976785,ok,0.055023501762632196,0.73615871911895114,ok
validation,tpsa,-0.0029012515552170031,ok,0.070042596944770857,0.43909791458391328,ok
external_test,aromatic_ring_count,0.55724139748160295,ok,0.25538103201146678,1.2852089987502575e-16,ok
external_test,crippen_logp,0.30670387162052948,ok,0.2321159818442427,8.7774676938275962e-14,ok
external_test,hba,-0.069750484444207797,ok,0.056918896321070236,0.30724205356583295,ok
external_test,hbd,-0.027321429142008784,ok,0.036666865742952699,0.82639387113527774,ok
external_test,heavy_atom_count,0.2526515650374051,ok,0.20794015766841853,3.9153243608789343e-11,ok
external_test,molecular_weight,0.14550740389035474,ok,0.18487816531294793,6.9762086477089746e-09,ok
external_test,ring_count,0.54964600667417807,ok,0.27308289536550406,5.7902171194191555e-19,ok
external_test,rotatable_bonds,-0.09511021624767714,ok,0.092340539894887719,0.015233062414323295,ok
external_test,tpsa,-0.029379699589616656,ok,0.071780936454849495,0.10381401509834974,ok
external_tautomer_sensitivity,aromatic_ring_count,0.55724139748160295,ok,0.25538103201146678,1.2852089987502575e-16,ok
external_tautomer_sensitivity,crippen_logp,0.30670387162052948,ok,0.2321159818442427,8.7774676938275962e-14,ok
external_tautomer_sensitivity,hba,-0.069750484444207797,ok,0.056918896321070236,0.30724205356583295,ok
external_tautomer_sensitivity,hbd,-0.027321429142008784,ok,0.036666865742952699,0.82639387113527774,ok
external_tautomer_sensitivity,heavy_atom_count,0.2526515650374051,ok,0.20794015766841853,3.9153243608789343e-11,ok
external_tautomer_sensitivity,molecular_weight,0.14550740389035474,ok,0.18487816531294793,6.9762086477089746e-09,ok
external_tautomer_sensitivity,ring_count,0.54964600667417807,ok,0.27308289536550406,5.7902171194191555e-19,ok
external_tautomer_sensitivity,rotatable_bonds,-0.09511021624767714,ok,0.092340539894887719,0.015233062414323295,ok
external_tautomer_sensitivity,tpsa,-0.029379699589616656,ok,0.071780936454849495,0.10381401509834974,ok
