compound_id,dataset_role,clear_positive_count,clear_negative_count,record_keys_json,review_status,decision,resolved_label,resolution_reason
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,development,1,6,"[""REC:0124c2f969c9e194dc35ef250a114e3234384e9c5c109e3d236b4b7c5b2f5622"",""REC:04b4c1a82717754527c455556a571e3fbdb5e53efe1fb125ca9c4d8e281a2a53"",""REC:10d2e60c8eb96c5d7653dfda9753277b6cabce1fb918d930b8f13da7951a218e"",""REC:17224127c4598e369ff0c64bee9c27475aefd114dd828c4b4856414f34cc6f79"",""REC:493e4a171b5266c4cfdcfcb6923ec113239cbc09373bdcd1f2a6c6fa33fea9aa"",""REC:74c72911cfd4a80e7fd2281cd2988435b2fc2d6e0c368f8bb582c68d149cdd89"",""REC:9ba4211ef12e104595c7474cce4416bd9225965407a84524f81ed6a68502f70f"",""REC:b709e67a68d827001ed6070ba506458726929e9cbc4f09ca1e50c488462667c5"",""REC:bd8f23056d142d267e5f26fda72e575b85677d19b084c3c81fb377b36bd9e2d3"",""REC:be1a83f51e2788e3f7830d649f1cdaa9bbd4b33d4d4158e0053b95c52d0b7505"",""REC:cf05254822674dd80bb8d35fda21ff2966e99af29ac5699d88b62c56c10ba94d"",""REC:ef859914539c09c0d07bf8a49c785a74ab534254ccd2f3d934d1820aa4437bce"",""REC:fce6730afc414a9f082e5697e05d492b4cd398df374632df3e7bd552c3c6f0c5""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,external,1,4,"[""REC:03bcb3dd49b29947af1b4f05e02532c8b0ac887f1a7c9a282481c027eb825ab4"",""REC:7123270ab1eeaed0800be01886b226e6002782e70425f2111020ce45e5d6e029"",""REC:73aedebe788155681cfc33b46fdcd41504bdeb221e4957429a52504b5d2063f2"",""REC:94663aac6ad0308289e848d9538f1753980d31a7b16719d2e4d90a984f15aff9"",""REC:c55446569a8008689b6879b65f40b38d5df559b01dcb2fdb52918c095da06ccf""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,development,3,4,"[""REC:03ad116d95f6142649e3dfd2e81bf400620ff982ea6d1964611c85a9728f7459"",""REC:0e9802975edbd309a7487993166464ce613f5a6a5c8487e95b96225889ffd2bc"",""REC:0f9abbd3342861482eaab0b86ac28da597fd43062582d22ba83757e391e387f9"",""REC:1207a1c889425af0a22db345faf088f85bbd8d9cd577b5436160fc75cca5d476"",""REC:1955e9bcfec63f103753e896e8fcad24f6d6ad63851fa7391d5483f796200058"",""REC:27a3db1b7c9b5d0b7e7e4df00051da3ce80b15f6ed8c61febe5afb4bde2b10d6"",""REC:280de370f7fa627c515e60f595bc22825e2d673ef6420f8e23f6b4b40f99dd6f"",""REC:3be3c38c7bcd1fc5144120ba7ea41da0098f832a813bb7463a966ad00fb4175b"",""REC:438a72fd0e75053f2b7c0a5148cc1b8e71574291a258aa82fe910adf1a2aa53d"",""REC:4513e9702360e3cc67a1efcef16edf8ea1a3d3486aaff45d7a6b32f0db85ca40"",""REC:4fba3b91e0fd57caac7d4c4795e1af564e61b2039fec195aa6c0c918567415f4"",""REC:532f8b9b192d0bc4b5878d1d777252051022ad6063629bb4ca4a76134f06ce14"",""REC:5dfb775aa5d5cf6acc509d073825040746830e58916b13e734936880bafdcf72"",""REC:62507c793b46503bb3f42fdea582602c5decebfac5a745a2758858d8bec7b6f8"",""REC:6564786d0a987a8167f73cc0f26182f12cefee07518d2e28c664abdad2480e9f"",""REC:669813e115986e9231e96c52d4427ecf97f0fd2ed7513c1ed540594810b683b5"",""REC:6d397a4a3431ecbc8baaec3d199e83dffc57be8024a1df417927c65abcc9b5d1"",""REC:748e97ebd94a100671917ecdeef2537001da9f3d282d90c71282fae60ba4b08d"",""REC:7708cc209dd60e4cb0574d954b0e1cb37c0fa8390d9d4a0b5e16343a221d18f3"",""REC:7e8f2dbe2fc3074b70eb951622b093e1c7eaa2431e6a96007b78685cae5aa254"",""REC:8c4e23261d6bb29e4433e28be9219cc26e47117928901cd4a696700ee2605c09"",""REC:980ac3c6e422fbaf20d33ff133a4ffe22ff8b984258aef52ad3e787174edc00b"",""REC:a0251b5dc49542a110f1aa91923ae6b05af0e45ffef6b8b028155d0aaf81830d"",""REC:a78705c513d0d393c4b3e9a4b43214c722f1839a14238aa8e02a2c93f406a472"",""REC:b73c2a1fbec6a8fa6b09417039c6e11f11e05063b82d2231891e25d1dcf3d40e"",""REC:bc323d9b194ec15f9c5eb8738a98d9a8a293bd44b3c314de64396a1c9507b07c"",""REC:d184265ed2d610630fa705bf690bf58ca16fb8def0131dfed5cebbeae9181556"",""REC:de0689eea13240862bbe944d377802b6357d989c5fbf328db16cf07e979f1d8c"",""REC:e08d4f0662c0ea4c8929efb8641612c0056a90852ac835516ea8a42a2ec27671"",""REC:ea992694f44c15ef5d26c05804c062fd7765081d0829db8596af48b378fc7acc""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,external,1,3,"[""REC:2b0d0f5da64bd23e3bd464589bac9d5dce4ba5466a5db339dd759788674b5897"",""REC:310e172c6c73da741b66f572b2952b236fdf1be28cefa4c8f88eeb38e715a724"",""REC:873115d82b583c5071b471e6042fd402dc1fbd31142b8b090bb29743c3a855e4"",""REC:a29381674a71613fc3d4a8d222b3faf494b5a6bbebccceef13521a304287858d"",""REC:d4f4cde1b86367682e77fb7392c0b2b2a86f21e31a27e5c647061ec1f428b468""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:AJHUUBJNVIKBGO-UHFFFAOYSA-N,external,1,1,"[""REC:7c62476929055c87856ad2c9bee11caf5dc2ff3adc52dd823215e0de8889b8f3"",""REC:8e5447f7022ab8ae4f2ce2a0852135bcc715f0b78cec8ba48630e8a5a381e1af""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,development,1,6,"[""REC:0b132d0e915b3d4d5d50a5899dcd37f9c97c081af19599a2cab23943d2905a01"",""REC:2927643aab7cc656bbed50f6be8f04fd32e996728b52d0d96a4eabddd58bf640"",""REC:49fa0fb369cacab77528192deee06ecb23dd400f37270c616e18d8058e9a431e"",""REC:4f1e0a8767c5a76d9ddb4eb267fd2f0b292dc18cfd68b6f7c3ac6b3c7ba4cbc5"",""REC:69701586d55d86068b47059c83a95d517681fc83e749349c5cb557640298bd52"",""REC:6c22a3184ccb05a8e7c96ccb4bda7eac6416a881980a5fa137cd54a214e35a67"",""REC:9e66e11b0131dfec976af6d8edcfb46bddac0b58101a051a3f80055745a63764"",""REC:d981074b3df0a8fb6da345ce71b1ec7256cfac22d9ec09e11bd3c4358b9f68c6"",""REC:e80711d3e27e382173e2d796f4d7ee7171780a6913eee066f155d7e5fc48b99d"",""REC:e9ca07787fdef9789c22254bfe4985b389bea5c3a6df3c53b74208031fe7e835"",""REC:f30da4895e38fd87623c0c999e1561525f8b69fe5aa2a103f0924daaa63c8932""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,external,18,13,"[""REC:00cab18d9030ffbb7d3b32dbcd115901b9acabf1d135403ecf995f22096f67c1"",""REC:03e54d7a14b746735f90fb8051c2328839c0cf0084c015ad50f4fb625784e6df"",""REC:130d2f64060cdd28b099392d08c429aa1840c6ec3d9c440acc26ff8eb967c2bf"",""REC:26423b32c5c736a743ef98458605902e98508b74eb380c47e7fa4a9b25162a51"",""REC:2ff97e0ab29944cea069bc32fe0bdfd9ea4df8e8f574b3a06b0f5a0cc93b8306"",""REC:49e3b915e913e78983969c21a80b02548ff0740e68d3efd05cbb0f224b62b884"",""REC:4b7e99cf8fdfe993b24d957dcc511369eedc77935ccd420d57f2890b41b0443f"",""REC:4d9af1f24cf52d73ed0be76325df80043a92243f44527ee9fa858d9700341ea2"",""REC:5162821e3ba0a9ea58ac0baaf62a3d76cc5cb8f6b45ab973af9be4d327f7ae29"",""REC:53cf29f5324037aad46df964dd9817298dfe40c505232cae4282089404838fa9"",""REC:64dcb48c6331620f4466f39d49bd1d0a4cd2a9f5f73764ecce73b3eea35a3cac"",""REC:65ca7165e21b08d31b745305653b4aceba04ba6e03240e3ae330d210224a92b4"",""REC:6dd8a182e7fbb2c14dea45a66611278e9e860c7da8ceca4a0e150f9269354087"",""REC:851defee893fbe09dcf9d3d00f6058d7f567d8ffc556926c8498ca6ac13ead70"",""REC:898e339d6eb64616dee19076ef1c820c209a877e8db7ea2349120b82b608f8aa"",""REC:977a611b1bc1100aa4fbc0218b32e3cb81016af80a09af68956c509e449d8092"",""REC:97ee034965392365ca92d134745b659e776bd57aaf4b1bed66590337228db312"",""REC:9d816acbed2ac9a292fe36efdda96141282144b93af4c072ef0d622dc9b4ae03"",""REC:a9c0d87b926c6ebec46b8245e3905d1358f9f3fccda1c1d2a174f3b4a81c400d"",""REC:b243b7eb33d7e7b98c6cb24ed1444aab85a5c3d30275c0fc757dd20ae43a2c26"",""REC:cb2726a73512689a5cddc4df7e3ccc28bba592df4655f05697861edfa75650da"",""REC:ccb9207ae5ef62788b10178177ec1a025df18936e5675e62a708141f42731a51"",""REC:cd3bb36b6dc1219c2e879cce538f4ff8821d1170e2e6bbde129064b471172e17"",""REC:d01b526a745654bf5edf537c489f1e11316d2be2ddd1c811b4dabc4b9ae1d897"",""REC:d478787d9be6a2b79d261fabb6ebb0dc9936f5c590b3d18eb10836ad02c091ad"",""REC:d7f315a24215cf776550f18561152e0a717e105b5703951da4acf78290f107cb"",""REC:e000e90e512c0ed7c70c1c1a69e5f63b6634732726664e2a099254821a6cf5ed"",""REC:e340b9c7b965f0d24bcd987a47d6a9b90efcbfccf55e856464d9b6ccfb76f313"",""REC:e65e67f96ea1243ae2a2f7ba20fc6889645319f543b2fbfbd81842c9151bec19"",""REC:f381cdd9fc97b336236003ec9e7c90a2d2afd0b8043c7be2ac558d9145d44e8a"",""REC:f47f0ffe8f806e683db0ac503ac5de10056aaf40b1daab6b63690d072739b17e""]",automatic_exclude,exclude_count_margin_le_10,,明确阳性与明确阴性记录数差绝对值不超过 10，按规则排除
CMP:ANUCHZVCBDOPOX-UHFFFAOYSA-N,external,3,1,"[""REC:4e2b7ae20ea2933b93a91689b3719150f44e7fe13fd83d14ec9f66c8761057fc"",""REC:6ff770188063a12d41bc7f205bfa54ab46f801790d935aad6f508fdeab89def8"",""REC:9dcfa09b6d63d52430f0dcb6282f5e13a4183074897be65cd70cfa76a774a1c1"",""REC:ee421b0c237331d3298b46ea21493110c0fcb5ac81897db18ac63a73c119b323""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,development,15,2,"[""REC:0aa564c4b2f869409a2e49ac77f59488a77075adf708bcb3f46bd62bdb0a8288"",""REC:0b60d73c985878fd1a16c61f544b52315bddd031486750ab0f0306e3c6443c55"",""REC:12b47ef411d0dd1b14d5d5ded493d863b38dd307b6a8f6d6274b07a6ac389af4"",""REC:1f6b1b3b18c0a92a11509a679334d2ea6437e9ddfc62964ec784129cd34d0598"",""REC:2108483df9c0c9f481dfb689e48b8a5a8fb21e4ff8180b38fd40c3186215899b"",""REC:2f99823b0a45a16f30a04f96a7111cada665b928b0109f622c03c803978c7d46"",""REC:35295214c162005870376e0611be91a150b70dcaf357b39b3780fe0ebc03ca4f"",""REC:35817d576f30ee77eb4544154181dbbbe11fff55e4044cb05d7e91d5935d86e5"",""REC:36740a5f925e02d7d1bed6b63e7efdcb6b952a4720296f75b880e5436472193a"",""REC:38b04c4da7e20d4233e0c921f8e63efad179f27aa1fb899b2e53de69d6f2f448"",""REC:3943fbe3e20f2865c9184f7b470de4c5f0ff36187d59110b6bfa8aea71472711"",""REC:3e1889ff206e88aac789ba13b4ed745edcf8b7d5fcd3bb83483ecf5774cf9c03"",""REC:495941407711071f1266bf42e3988b3e5d8ab5f81e3270e72f8331bff86e6c98"",""REC:4a00c3b0d13bc0c7dc20e581aa48b0d720bec74d319ecfb82841adf938209ef4"",""REC:4cd68a6230c8b12cd544c143244f4499addd5b8422a82c20c59336f440f077a1"",""REC:52f18ec2e51a5c4425c8336ce127f390563ddb63881e7864d94fef3a35b0cdf3"",""REC:57bc1a7471221faacd39e50413bc408bdff9ab2107dc75017a2d8574a837e614"",""REC:5b36fbb4be0432dbe95f63670f23637d95bca9e72f5b59966c1e7a998d57f41c"",""REC:64517a6705ea3fce546936f4c289677383d7e842fb530a0b9e13a32ccb0b53a0"",""REC:666f8203e9894cc78a8ed3193beb648de88e7d662cef886b1ef7dda1536908ce"",""REC:68be40575f552ad904729e38e341620c7ba5b05f6df96e6a322ed072d6486a9a"",""REC:709749241b7d2087e7570f6262eadb31b8f825ce5a9f886bdf51b7227710e66c"",""REC:7217396c4fd05a470d6b12ca782b217131958808daab031c4f100296ba007344"",""REC:736b0d624159498d8b79bad00796a918fb84c5ca1d8f5d99a76251b3451dfd07"",""REC:78c9a8cb20c238f5321f28f3bfe7ef77b9a1ad3d5fd82f25678213f45db850c5"",""REC:7e71ed550b6a3d6eacf19238ebb4c902bd7225e47670a7b3feacae2150250ea0"",""REC:8078c313f11d85ac0a779179f15455fd158729a3a595becad9874f9ff74bc8ae"",""REC:8561cf286f6940a7a3e7c38cdf277579dd69c750cecca15e3c4ff4d5baee2e4d"",""REC:91c8c2d4244340611a5798ff34c970049fc603156f87d4ea1df87d2d499ab610"",""REC:a42d95537b38a47121292fd58a40de6455f661155e11930fd8efcb676cf07a8d"",""REC:a727739968bf83b0e9e888e6a0bdec105d9bababd1a1b4a5daf13343866c1d05"",""REC:ad280384728070fd5038775dfbb295f5e956ee37f9e44ab9535c4d45032d8875"",""REC:af696cd58fc22a04cbcaba74ad1bc9c64de0b7c0f6af294117d039cdac0bfae6"",""REC:b7c8d8953b85c2b9f92fe317b080e0d775d43bbdc75e5934b6341e447eddd6ec"",""REC:c1e782b0f7b00b291a7094e00d2c7b1a49d6a98f154a1f5661994009cd7ff2fe"",""REC:c87966f2259a7e5ce5b651c8fdcd76da8ff0388b46e2a1aa33015be1623da53d"",""REC:d32cc568fea310fd3e3aef33fda1eac1efcc30a89fefe202657fa0caa139d520"",""REC:d9b371746c9c40678cf4f1339ca6dc296b39bbff12f2c60537b8e4e84ec255c5"",""REC:dc171fa6bca293fa0f9fc6b12d7b8a8278d1674fd6738f7a4702227ce6d9bcd4"",""REC:e2ecadde211786af45c36e75460883ca873a1e1ea36a7ebee372e945358ded59"",""REC:ef6f772e502025c67ead124752395bda83ba57cc0025ec9fa1f02ba3c63504c1"",""REC:efebd579ce96f6d33b259c95dcfd6c43995192b1982cf626837eb905211c26fb"",""REC:f2b2d059e4c2032e3c9593c7ccde0464124b8cc66f6ff701282d08cc1f7ce3a2"",""REC:f4748971febdbdc9b47948a0311c201488ed7e7bff5fc82fb643c4fa934980d0"",""REC:f6121d6692cfc66cb3244a5d4c2695fb9cec4833013974318ab577961de210e3"",""REC:fc678f4957a0383c3e201bbdcd74eb9ed90f79fd889b01a01ee5668ae0c07a40"",""REC:fcaf84cfc64f5efcaec06919a83aeff15b2beba73df73f3d135a6c3186f369e2""]",automatic_resolved,assign_positive,1,明确阳性记录数更多且差值大于 10，按规则标记为阳性
CMP:AQKCJDFMDAPELP-UHFFFAOYSA-N,external,6,4,"[""REC:106762af7703759ef310bcc5d9cb79448b5e0227d1951db716d85b2736da0b9f"",""REC:12fa4fe97db5bb0e4a0e81a8dd3a9d28f01e99cd4328b094ca869c19f05771b2"",""REC:2bcebe495c377adbff06bb7c5bf911d1081c5891deb5928f072400002e7e7a06"",""REC:6384121404b6d22f6c46a600e19fa1786edc4b91b8cb80092f87672e45eff6c3"",""REC:65a09881daf31eee16a03ff19bddead03afd5cf412f05ccc54e7dd7de3722099"",""REC:67c1c4da9ecb429d73a0f6922c0415fa029d87b2941260c0eef91c911c124c3e"",""REC:67fc4ce11591b1010ccf2b04c973f226123e5794aca9bb311ceab9f8ae683f76"",""REC:91fad5284202f14fa5ce4a0b07173c163136c658dec83e5ffc953ef753f873e7"",""REC:e0e6e74fa6fa11dd6b39036593b10a69a2d0d7212bcbfd0ab463237ae7097438"",""REC:e7807c3df505fabf02ff2189557f0943e917fbe1559b5fc58add94721bf664da"",""REC:f3fd6ef0e9121e6a2477392a3a1178e1c9fb78fe5428788173055aa78f769fe8"",""REC:ff2d715b6b07cb4a1f7248a9dfe1884e3d29858229f9e2a9b1150b66858c9f3a""]",automatic_exclude,exclude_total_count_le_10,,明确阳性与明确阴性记录总数不超过 10，按规则排除
