compound_id,dataset_role,exclusion_reason
CMP:AAAQKTZKLRYKHR-UHFFFAOYSA-N,external,label_uncertain
CMP:AAAZGXXMLCZMFO-UHFFFAOYSA-N,external,label_uncertain
CMP:AABLMOXKAOXTGJ-UHFFFAOYSA-N,external,label_uncertain
CMP:AACMNEWXGKOJJK-UHFFFAOYSA-N,external,label_uncertain
CMP:AAEVYOVXGOFMJO-UHFFFAOYSA-N,development,label_uncertain
CMP:AAKMSGQPNUGLAZ-UHFFFAOYSA-N,external,label_uncertain
CMP:AAMHBRRZYSORSH-UHFFFAOYSA-N,external,label_uncertain
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,external,label_uncertain
CMP:AAPLIUHOKVUFCC-UHFFFAOYSA-N,external,label_uncertain
CMP:AATFIRWANKIEBI-UHFFFAOYSA-N,external,label_uncertain
CMP:AATNZNJRDOVKDD-UHFFFAOYSA-N,external,label_uncertain
CMP:AAWMBIUFIQYVAV-GXTWGEPZSA-N,external,label_uncertain
CMP:AAZXENNZBMLJIW-ZMTPEHOPSA-N,external,label_uncertain
CMP:ABDLNDXNWOFSAT-ZBINZKHDSA-N,external,label_uncertain
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,development,label_uncertain
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,external,label_uncertain
CMP:ABOOPXYCKNFDNJ-UHFFFAOYSA-N,external,label_uncertain
CMP:ABOWOWSCERRWAZ-UHFFFAOYSA-N,external,label_uncertain
CMP:ACAOMVAOUMITTJ-UBEDBUPSSA-N,external,label_uncertain
CMP:ACCBNZDBNKODSZ-UHFFFAOYSA-N,external,label_uncertain
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ACIUFBMENRNYHI-UHFFFAOYSA-N,external,label_uncertain
CMP:ACJOYTKWHPEIHW-UHFFFAOYSA-N,external,label_uncertain
CMP:ACKYQATWPXBWLE-UHFFFAOYSA-N,external,label_uncertain
CMP:ACSIERCPHHBMPN-UHFFFAOYSA-N,external,label_uncertain
CMP:ACTSYSYEGYKYCS-UHFFFAOYSA-N,external,label_uncertain
CMP:ACWQBUSCFPJUPN-HWKANZROSA-N,external,label_uncertain
CMP:ACYOLKMEHHTLAB-UHFFFAOYSA-N,external,label_uncertain
CMP:ADCDISFHDLKFFS-DQYPLQBXSA-N,external,label_uncertain
CMP:ADFCQWZHKCXPAJ-GFCCVEGCSA-N,external,label_uncertain
CMP:ADFOLUXMYYCTRR-UHFFFAOYSA-N,external,label_uncertain
CMP:ADFWQBGTDJIESE-UHFFFAOYSA-N,external,label_uncertain
CMP:ADHARTAVWVLWEN-UHFFFAOYSA-N,external,label_uncertain
CMP:ADNPLDHMAVUMIW-CUZNLEPHSA-N,external,label_uncertain
CMP:ADWFEADZGIHPDE-QGERINELSA-N,external,label_uncertain
CMP:AECDQNMVIJWYBL-UHFFFAOYSA-N,external,label_uncertain
CMP:AEEOKVQGQXEZES-UHFFFAOYSA-N,external,label_uncertain
CMP:AEHPOYAOLCAMIU-UHFFFAOYSA-N,external,label_uncertain
CMP:AELCINSCMGFISI-DTWKUNHWSA-N,external,label_uncertain
CMP:AEMFNILZOJDQLW-QAGGRKNESA-N,external,label_uncertain
CMP:AEMGWIPLOIDRAE-UHFFFAOYSA-N,external,label_uncertain
CMP:AEMRFAOFKBGASW-UHFFFAOYSA-N,external,label_uncertain
CMP:AENLVVDKCOXMBH-UHFFFAOYSA-N,external,label_uncertain
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,development,label_conflict
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,development,label_conflict_total_count_le_10
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,external,label_conflict
CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:AETKQQBRKSELEL-ZHACJKMWSA-N,external,label_uncertain
CMP:AFBPFSWMIHJQDM-UHFFFAOYSA-N,external,label_uncertain
CMP:AFCAKJKUYFLYFK-UHFFFAOYSA-N,external,label_uncertain
CMP:AFFLGGQVNFXPEV-UHFFFAOYSA-N,external,label_uncertain
CMP:AFFXEGNIYQJTQQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AFMIFWUUCHCHNN-UHFFFAOYSA-N,external,label_uncertain
CMP:AFOSIXZFDONLBT-UHFFFAOYSA-N,external,label_uncertain
CMP:AFPHTEQTJZKQAQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AFPNTTFBCMSLLO-UHFFFAOYSA-N,external,label_uncertain
CMP:AFPRJLBZLPBTPZ-UHFFFAOYSA-N,external,label_uncertain
CMP:AFQAIJFWMTYTFR-UHFFFAOYSA-N,external,label_uncertain
CMP:AFQHMLMYZPOSFP-INIZCTEOSA-N,external,label_uncertain
CMP:AFQXINPSVGSODO-UHFFFAOYSA-N,external,label_uncertain
CMP:AFVFQIVMOAPDHO-UHFFFAOYSA-N,external,external_connectivity_overlap
CMP:AFVFQIVMOAPDHO-UHFFFAOYSA-N,external,label_uncertain
CMP:AFYCEAFSNDLKSX-UHFFFAOYSA-N,external,label_uncertain
CMP:AFYFSKQCEUFIJU-UHFFFAOYSA-N,external,label_uncertain
CMP:AFZFFLVORLEPPO-PFRIVRJKSA-N,external,label_uncertain
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,external,label_uncertain
CMP:AFZZWGLJNSCSAH-UHFFFAOYSA-N,external,label_uncertain
CMP:AGEZXYOZHKGVCM-UHFFFAOYSA-N,external,label_uncertain
CMP:AGFAJSXQOTVQCE-UHFFFAOYSA-N,external,label_uncertain
CMP:AGHANLSBXUWXTB-UHFFFAOYSA-N,external,label_uncertain
CMP:AGHIQBRPBAHPMV-UHFFFAOYSA-N,external,label_uncertain
CMP:AGIQIKMGJVLKMA-NLRWUALESA-N,external,label_uncertain
CMP:AGJGKJUQUHGXAD-UHFFFAOYSA-N,external,label_uncertain
CMP:AGJOAIMUXIQLCN-UHFFFAOYSA-N,external,label_uncertain
CMP:AGMLIICQHWMQGU-UHFFFAOYSA-N,external,label_uncertain
CMP:AGMMTXLNIQSRCG-UHFFFAOYSA-N,external,label_uncertain
CMP:AGOYDEPGAOXOCK-KCBOHYOISA-N,external,label_uncertain
CMP:AGPKZVBTJJNPAG-WHFBIAKZSA-N,external,label_uncertain
CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N,external,external_exact_overlap
CMP:AGSPXMVUFBBBMO-UHFFFAOYSA-N,external,label_uncertain
CMP:AGUIVNYEYSCPNI-UHFFFAOYSA-N,external,label_uncertain
CMP:AHAAWQBSARNIMQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AHCFYJDMZGBSLQ-PEZBUJJGSA-N,external,label_uncertain
CMP:AHHWIHXENZJRFG-UHFFFAOYSA-N,external,label_uncertain
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,development,label_conflict
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,development,label_conflict_total_count_le_10
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,external,label_conflict
CMP:AHJKRLASYNVKDZ-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:AHLHDIKRENEJHF-UHFFFAOYSA-N,external,label_uncertain
CMP:AHTPATJNIAFOLR-UHFFFAOYSA-N,development,label_uncertain
CMP:AHXGXXJEEHFHDK-UHFFFAOYSA-N,external,label_uncertain
CMP:AIBRSVLEQRWAEG-UHFFFAOYSA-N,external,label_uncertain
CMP:AIBWRMHGMCJIPR-UHFFFAOYSA-N,external,label_uncertain
CMP:AIEOWYUAULEJQF-UHFFFAOYSA-N,external,label_uncertain
CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,external,label_uncertain
CMP:AIGRXSNSLVJMEA-UHFFFAOYSA-N,development,label_uncertain
CMP:AIHIHVZYAAMDPM-MRVPVSSYSA-N,external,label_uncertain
CMP:AIHIHVZYAAMDPM-QMMMGPOBSA-N,external,label_uncertain
CMP:AIIUNWLLWYAQDR-UHFFFAOYSA-N,external,label_uncertain
CMP:AIJTTZAVMXIJGM-UHFFFAOYSA-N,external,label_uncertain
CMP:AIKKULXCBHRFOS-UHFFFAOYSA-N,external,label_uncertain
CMP:AILAVJFBFWLVHF-UHFFFAOYSA-N,external,label_uncertain
CMP:AIMGCRFODJUJKC-UHFFFAOYSA-N,external,label_uncertain
CMP:AIMREYQYBFBEGQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AIMXMLCYGWOKDI-UHFFFAOYSA-N,external,label_uncertain
CMP:AIPSXDXZFKITIG-JNQJZLCISA-N,external,external_exact_overlap
CMP:AITBOCKNEMIZFG-QHHAFSJGSA-N,external,label_uncertain
CMP:AITNMTXHTIIIBB-UHFFFAOYSA-N,external,label_uncertain
CMP:AJABDGUPMVJPGF-UHFFFAOYSA-N,external,label_uncertain
CMP:AJEAHBZZHSLIQP-UHFFFAOYSA-N,external,label_uncertain
CMP:AJHUUBJNVIKBGO-UHFFFAOYSA-N,external,label_conflict
CMP:AJHUUBJNVIKBGO-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:AJIRUIWLEVHQMU-UHFFFAOYSA-N,external,label_uncertain
CMP:AJKRLFVGAWNBKP-UHFFFAOYSA-N,external,label_uncertain
CMP:AJKVQEKCUACUMD-UHFFFAOYSA-N,external,label_uncertain
CMP:AJLFOPYRIVGYMJ-INTXDZFKSA-N,external,label_uncertain
CMP:AJOQSQHYDOFIOX-UHFFFAOYSA-N,development,label_uncertain
CMP:AJOQSQHYDOFIOX-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AJOQSQHYDOFIOX-UHFFFAOYSA-N,external,label_uncertain
CMP:AJQOASGWDCBKCJ-UHFFFAOYSA-N,external,label_uncertain
CMP:AJXIRXPZNGBLIW-UHFFFAOYSA-N,external,label_uncertain
CMP:AJZBCQOOORDXSP-PTLFGRINSA-N,external,label_uncertain
CMP:AKCRQHGQIJBRMN-UHFFFAOYSA-N,external,label_uncertain
CMP:AKDLVCZGUNMQSF-UHFFFAOYSA-N,external,label_uncertain
CMP:AKGLPARAPSMXJV-UHFFFAOYSA-N,external,label_uncertain
CMP:AKJHMTWEGVYYSE-DRYRGIGMSA-N,external,label_uncertain
CMP:AKJHMTWEGVYYSE-FXILSDISSA-N,external,label_uncertain
CMP:AKKPXGYDZXXJLI-UHFFFAOYSA-N,external,label_uncertain
CMP:AKLOLDQYWQAREW-UHFFFAOYSA-N,external,label_uncertain
CMP:AKNNEGZIBPJZJG-MSOLQXFVSA-N,external,label_uncertain
CMP:AKOQAPNKMDKUDO-UHFFFAOYSA-N,external,label_uncertain
CMP:AKPLHCDWDRPJGD-UHFFFAOYSA-N,external,label_uncertain
CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AKSIQQBEDAZPLD-UHFFFAOYSA-N,external,label_uncertain
CMP:AKUNSTOMHUXJOZ-UHFFFAOYSA-N,external,label_uncertain
CMP:AKXOIHNFHOEPHN-CQSZACIVSA-N,external,label_uncertain
CMP:AKZHPJMVGQRYGX-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AKZHPJMVGQRYGX-UHFFFAOYSA-N,external,label_uncertain
CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,development,label_conflict
CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,development,label_conflict_total_count_le_10
CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,external,label_uncertain
CMP:ALDYHLYMNPPSIB-XJFVKYJOSA-N,external,label_uncertain
CMP:ALGQVMMYDWQDEC-OWOJBTEDSA-N,external,label_uncertain
CMP:ALHUXMDEZNLFTA-UHFFFAOYSA-N,external,label_uncertain
CMP:ALIFPGGMJDWMJH-UHFFFAOYSA-N,external,label_uncertain
CMP:ALKYHXVLJMQRLQ-UHFFFAOYSA-N,external,label_uncertain
CMP:ALLOLPOYFRLCCX-UHFFFAOYSA-N,external,label_uncertain
CMP:ALLQMEDAYDKMIO-UHFFFAOYSA-N,external,label_uncertain
CMP:ALLWOAVDORUJLA-UHFFFAOYSA-N,external,label_uncertain
CMP:ALMHSXDYCFOZQD-UHFFFAOYSA-N,external,label_uncertain
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,external,external_exact_overlap
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,external,label_conflict
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,external,label_conflict_count_margin_le_10
CMP:ALWKGYPQUAPLQC-UHFFFAOYSA-N,external,label_uncertain
CMP:ALWZPUMEIGJJOR-QOMWVZHYSA-N,external,label_uncertain
CMP:ALYNCZNDIQEVRV-UHFFFAOYSA-N,external,label_uncertain
CMP:AMAHTMJTDVOIFX-UHFFFAOYSA-N,external,label_uncertain
CMP:AMBRBRILSDZRQV-UHFFFAOYSA-N,external,label_uncertain
CMP:AMFGWXWBFGVCKG-UHFFFAOYSA-N,external,label_uncertain
CMP:AMIDUPFSOUCLQB-UHFFFAOYSA-N,external,label_uncertain
CMP:AMIMRNSIRUDHCM-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AMIYGFTVNIDCPN-UHFFFAOYSA-N,external,label_uncertain
CMP:AMJPOSPVYFVPOR-UHFFFAOYSA-N,external,label_uncertain
CMP:AMJZQNNQKHQREC-UHFFFAOYSA-N,external,label_uncertain
CMP:AMKYSWHDHALJOT-UHFFFAOYSA-N,external,label_uncertain
CMP:AMOPBNMABDFREG-UHFFFAOYSA-N,external,label_uncertain
CMP:AMPCGOAFZFKBGH-UHFFFAOYSA-N,external,label_uncertain
CMP:AMPCGOAFZFKBGH-UHFFFAOYSA-O,external,label_uncertain
CMP:AMPJDTBJASSLGJ-UHFFFAOYSA-N,external,label_uncertain
CMP:AMPRMQJPOQBXQE-UHFFFAOYSA-N,external,label_uncertain
CMP:AMTPYFGPPVFBBI-UHFFFAOYSA-N,external,external_exact_overlap
CMP:AMTPYFGPPVFBBI-UHFFFAOYSA-N,external,label_uncertain
CMP:ANNIRGBPLHRRKP-UHFFFAOYSA-N,external,label_uncertain
CMP:ANPXOPDRZJNQSL-UHFFFAOYSA-N,external,label_uncertain
CMP:ANRGSWRBGXZQLY-UHFFFAOYSA-N,external,label_uncertain
CMP:ANUCHZVCBDOPOX-UHFFFAOYSA-N,external,label_conflict
CMP:ANUCHZVCBDOPOX-UHFFFAOYSA-N,external,label_conflict_total_count_le_10
CMP:ANUSOIHIIPAHJV-UHFFFAOYSA-N,external,label_uncertain
CMP:ANVAOWXLWRTKGA-NTXLUARGSA-N,external,label_uncertain
CMP:ANYWGXDASKQYAD-UHFFFAOYSA-N,external,label_uncertain
CMP:AOAYASSWEQULKK-MNDPQUGUSA-N,external,label_uncertain
CMP:AOBIOSPNXBMOAT-UHFFFAOYSA-N,external,label_uncertain
CMP:AOCCBINRVIKJHY-UHFFFAOYSA-N,external,label_uncertain
CMP:AOCWQMNSLKIXPQ-UHFFFAOYSA-N,external,label_uncertain
CMP:AOGKIHZSOZKJSD-UHFFFAOYSA-N,external,label_uncertain
