compound_id,dataset_role,record_count,record_keys_json,source_labels_json,clear_positive_count,clear_negative_count,nonbinary_count,discordant_nonclear_count,has_discordant_nonclear_evidence,exact_duplicate_class
CMP:AAAQKTZKLRYKHR-UHFFFAOYSA-N,external,1,"[""REC:4cb7002dbf991995f9c4d96520f4b22491015036664d9f3dc2e3cb6d2e700782""]",[],0,0,1,0,false,single_record
CMP:AAAZGXXMLCZMFO-UHFFFAOYSA-N,external,1,"[""REC:6a26135a194b7bd6ec71131c17fdf2b51760879c2014f0b6e5e7842a26487791""]",[],0,0,1,0,false,single_record
CMP:AABLMOXKAOXTGJ-UHFFFAOYSA-N,external,1,"[""REC:23a20b8609cb85ae5973f5497bdc1f635f1279f83dae2adf740a4e902bedc6c7""]",[],0,0,1,0,false,single_record
CMP:AACMNEWXGKOJJK-UHFFFAOYSA-N,external,1,"[""REC:26471ce85fbcb558b3548ec5d1119aa3f3d0b630b0990b2f3703d60847068388""]",[],0,0,1,0,false,single_record
CMP:AAEVYOVXGOFMJO-UHFFFAOYSA-N,development,1,"[""REC:59b72820584bf02148151d270d9b0d1b556f03cb8184f1dd8b67093245ceaa09""]",[],0,0,1,0,false,single_record
CMP:AAKMSGQPNUGLAZ-UHFFFAOYSA-N,external,1,"[""REC:0415844ede89569b15ffb4165188e0690f1f0b21372a965195ac74d5b65a607c""]",[],0,0,1,0,false,single_record
CMP:AAMHBRRZYSORSH-UHFFFAOYSA-N,external,1,"[""REC:3100c1f14c25f4f8325fd902737dee532b15a5de6b1cfa598fbccd03f389776d""]",[],0,0,1,0,false,single_record
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,development,22,"[""REC:230ba47e6723c719d93b49b0989afad550eb3b231f47f802853c25ebbb1d3e74"",""REC:2a871d1c679303fb0d0cede83edd68426f3484c51b42064bc0a3b71242975db5"",""REC:2d72d518ad60424b9a3b35c31fcd042a0c618719aaf43ca453c2565e8bdf620d"",""REC:2edc3fadac8a2c35d0ce1492a6a196b7a292fc9a7e0cb3dfe333f98767073064"",""REC:3e9e2b238675091a4d311fc6fa72fb851c284076259056d3b05fc9a51e6975a7"",""REC:402ff4a3ba969a05f2acebba372280b0c8fe36f4774ba5fdce33e79778396a5c"",""REC:4889343b7fe8e7cba0a790af9ae701e8c9a892951837c27338485f2a93e4a2f0"",""REC:558ea6f581d95bf602bc1d5fe3dc6907ee6eacd36d75d7ecc49da1db862e8ba7"",""REC:702e12c086d47064e051250970b697da8d31dc80ab6a267b3a3ff8435907e9c7"",""REC:707752acdb904445d3a35fc97fcd73094ecf5fa1724290be8bf408c2195fca24"",""REC:71b863c02e7782b1ecc79243f5db74685890872d9dde933f8cc05b6b78f170fc"",""REC:8454c5a6447bcb45f81e26e2ce63fd40b68a18b5ca331266781652451a347eca"",""REC:890b72a242fbac3caf94f5c31269d3d62f39e665d28d64fe95ace61d58b35813"",""REC:9a5e19dec3e94db45cd6b04570a45abf85a2c3b0815d3932a008b0bd87c192f6"",""REC:a008c8bce9962a192b8289ec41fdb7b517e6192da7e5a9edae806aff4d5f9a4b"",""REC:a24f18c652f9c16083be194b94e32429e47bba465151ee2d90c4050ed3b235b5"",""REC:aa7b258ea67b9828aab806d4af8660344a9cb5e6b6138a8a2c874e0123398d94"",""REC:ca79091ecac981c8fad44585a6f9bf76feba2a76527b6adc3692052019ae932b"",""REC:d902e2d99a7227cd10175ff7fcecb8782778dc743f45bde9b79d17e8058b10bb"",""REC:e5476065e75aa08d6e0241b2caccafdfde5acf3dc341835bfc6c33767ad69bac"",""REC:e8797d00f0f87bd28353f53b354f2e6be18f65b91c9e98f4e71597a46bc346db"",""REC:edfc2438fdaa7dfb17864bbf675e790888c1e829bf2777ebf838864f5cb60de9""]","[""-""]",0,22,0,0,false,multiple_clear_same_label
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,external,1,"[""REC:e6af95d935c64608263c76f54de4729d141a0b6cecfdb3a8da61081b673f7aac""]",[],0,0,1,0,false,single_record
CMP:AAPLIUHOKVUFCC-UHFFFAOYSA-N,external,1,"[""REC:2dea558cb5bceec11581d4b9a2bcf7ac4d305bec10718612b86da2d7d61de247""]",[],0,0,1,0,false,single_record
CMP:AATFIRWANKIEBI-UHFFFAOYSA-N,external,1,"[""REC:ff9bb39bb4c2bcc78b0747a794cf35eef09c40cdd480ce8f8bcf90f3ce9bc71f""]",[],0,0,1,0,false,single_record
CMP:AATNZNJRDOVKDD-UHFFFAOYSA-N,external,1,"[""REC:8b4853be5db6972ede2087cfd9d44a2abe8fa6b1024c73deb22382411c3879e1""]",[],0,0,1,0,false,single_record
CMP:AAWMBIUFIQYVAV-GXTWGEPZSA-N,external,1,"[""REC:44dd21bc77ec7040700047bcf6e62263bd0c822dfbcf037750ffbf42b62df54b""]",[],0,0,1,0,false,single_record
CMP:AAZXENNZBMLJIW-ZMTPEHOPSA-N,external,1,"[""REC:386a27e0c72496a85077046cdb829204b402e6c4161dcda2c714f12aeb10e0d5""]",[],0,0,1,0,false,single_record
CMP:ABDLNDXNWOFSAT-ZBINZKHDSA-N,external,1,"[""REC:dfcd031ef5997c0c61463699aaf93e0750918312896ba36eefb92804815dec4c""]",[],0,0,1,0,false,single_record
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,development,1,"[""REC:8dcc59c9e42327933b57a207afac41ee73106adeba18c046348e322b92993c93""]","[""0""]",0,0,1,0,false,single_record
CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,external,1,"[""REC:d4b64ca57719fbd791bbc1eb6c407b1a0ab553b57b8d591ece7bdfbb94b92b38""]",[],0,0,1,0,false,single_record
CMP:ABOOPXYCKNFDNJ-UHFFFAOYSA-N,external,1,"[""REC:1bff987049bd27d5098cd5750c4447c924476718cfc577072cb4d62940d42300""]",[],0,0,1,0,false,single_record
CMP:ABOWOWSCERRWAZ-UHFFFAOYSA-N,external,1,"[""REC:cfd5870085e705f38aa6c76c1c8fbc6524b2c469a03f5cb1375f516d7f5c1d54""]",[],0,0,1,0,false,single_record
CMP:ABVBOWJCKJGCJM-DMTCNVIQSA-N,development,4,"[""REC:59c09e924b9ab010c83a57ff7e95da32df20838d1f0462da964fec707375b6c4"",""REC:5bb40b2d6c7a3b8b53dec6fb5396f4041077b8f4ac42b34e4e25b69540653d32"",""REC:76062b4b03bf325383890753d6a84a884b582dcf1885d10244848501e0d8224a"",""REC:fc232bc41a36da1bc873621327310841431c2f25b9d9436a36e294a417b0912c""]","[""-"",""0""]",0,2,2,0,false,multiple_clear_with_nonbinary
CMP:ACAOMVAOUMITTJ-UBEDBUPSSA-N,external,1,"[""REC:df32914fb6c251e1ea3a16c92c7e1d5ea5d8e7657ed7e7a360e15ca7ad9b6e99""]",[],0,0,1,0,false,single_record
CMP:ACCBNZDBNKODSZ-UHFFFAOYSA-N,external,1,"[""REC:12201a533a0e7cfefe646348a8b422457763bc106bddea316fc9d51908f404b3""]",[],0,0,1,0,false,single_record
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,development,18,"[""REC:075ce1bfd7cc1bb133f10fc6d98a6b84c2c8da9a8df7db40786e550c4fc50db3"",""REC:0bfc2eb792eab6cd46c66a8a656520bd8d706230bfa41ef8fd54bab9cb7cb6cd"",""REC:2bc23a10ad5788af007ae16d296ac58ce60598b1338ed2680028f57023f32c51"",""REC:39586bf6cc6b2df4a4411f8e22998f5d09712166e1e65480f1921a23f5eb62e1"",""REC:46470e816e44e57dd18169394066ebea47d338eabec4cdac935d9415c84d87b8"",""REC:59c072bca06a065db59b58a0b26bbb8b611b8e983db0d6e717d457640a1280e7"",""REC:7ecec148b66970077dacb5e4aa7c480c57a030c8ae1b981b7363f6ab30fa0f2a"",""REC:7fb170bedf998ad257b709602857cffb1631dfa3e242e1b3ab538374202164c5"",""REC:92548b18b95aaae5da46924fe0daeb6260fe68df5bb0efc7adae85842cf73594"",""REC:a0a264d4c2006ce6f09bdfdbe258d055d80b8ed54b52cc3ef664b165512dbd70"",""REC:aea11ccaab7694bf1cc64d2ba72cd3c521d43d39e00c38ce2d6817f48c529519"",""REC:b95b1d313fe32151dbf82400c4da1ee4dfa1cebc588f43f6ec0cf97ed5d9f2aa"",""REC:c0589891a41be94b94fa24ab1ddcaeadfef755e1742ac6b578d97d778fe37ee7"",""REC:c4c8c19174e7992aec525646306928afe7487f65bdac66c53dfe256d682521c2"",""REC:d10c7685139a2b5d9dbc49a0a4455f30d093d563b2b024ca857b16bda4dd799a"",""REC:e4ced259c96f861c1ac34b25152d0ca30dbec975071041beb7d96698ad00cb58"",""REC:e5b01611ab1157310c768f42c6e6afe7a84e7a1e6152343106900b5da02345bb"",""REC:f47c986075649a2a846515f1e7b988475da4eca80cd60c6ce3d671a96df4ac95""]","[""-"",""0""]",0,13,5,0,false,multiple_clear_with_nonbinary
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,external,2,"[""REC:72f6c9342e6f88fb178f89c905178dc0290eaecfcc13e62d1b8d2a0c6f841faa"",""REC:88fcc1b0d65208fbf2297a1d2d9ee7d42e44c2771900cd059655d52fbde84352""]","[""NEGATIVE""]",0,2,0,0,false,multiple_clear_same_label
CMP:ACIUFBMENRNYHI-UHFFFAOYSA-N,external,1,"[""REC:f90ba5d17aa584fa2cb5d33acac14de26bd9f746f0d81524435d83bcb1145e16""]",[],0,0,1,0,false,single_record
CMP:ACJOYTKWHPEIHW-UHFFFAOYSA-N,external,1,"[""REC:ddf44848892a2a29dc8db049e6c3b4ac9565f97776d62a57e9abccf008814a74""]",[],0,0,1,0,false,single_record
CMP:ACKYQATWPXBWLE-UHFFFAOYSA-N,external,1,"[""REC:2ccf66756539c3f77360883affc3af96f4c92073267ffd9946d64957c2c02d6f""]",[],0,0,1,0,false,single_record
CMP:ACSIERCPHHBMPN-UHFFFAOYSA-N,external,1,"[""REC:5cbd2bce9833fbf6bb40bb3bf3b0aaf90a86e5ea6c1bab6a916bd1cfae25be9a""]",[],0,0,1,0,false,single_record
CMP:ACTSYSYEGYKYCS-UHFFFAOYSA-N,external,1,"[""REC:2645a5611bd6f361b5bc3c0b1ea0262830de1cbc56a2f02e122aa61c9057516c""]",[],0,0,1,0,false,single_record
CMP:ACWQBUSCFPJUPN-HWKANZROSA-N,external,1,"[""REC:149bbf7ee233752583dc547979513cfc5bd83a9519d56acdeb86b61a774dddb0""]",[],0,0,1,0,false,single_record
CMP:ACYOLKMEHHTLAB-UHFFFAOYSA-N,external,1,"[""REC:29b6ac3942f61e5c91c52addbc9a8a45482919fc2226ffd8660e2510f0532aea""]",[],0,0,1,0,false,single_record
CMP:ADCDISFHDLKFFS-DQYPLQBXSA-N,external,1,"[""REC:84ea0293dd18a8db73212822acaf9a6a0fbc858394ae42dfe2a25e5b45191054""]",[],0,0,1,0,false,single_record
CMP:ADFCQWZHKCXPAJ-GFCCVEGCSA-N,external,1,"[""REC:2eafe271d9fbf2f117b49973522fe007a48183cc832783c33ffbf470d5aa2cd2""]",[],0,0,1,0,false,single_record
CMP:ADFOLUXMYYCTRR-UHFFFAOYSA-N,external,1,"[""REC:6e686bd47cb7f90e86638d24a6ba90fe6e980d653c4cf5a31a7a4d058687f06e""]",[],0,0,1,0,false,single_record
CMP:ADFWQBGTDJIESE-UHFFFAOYSA-N,external,1,"[""REC:bde54545a1b57a07e3b670357ba832cd1e10b59882b91c0d296d28afd157e3ce""]",[],0,0,1,0,false,single_record
CMP:ADHARTAVWVLWEN-UHFFFAOYSA-N,external,1,"[""REC:ad9aecc5d98b71dfa118b1440e61c11b407089006937c6165d89397795aa6c9c""]",[],0,0,1,0,false,single_record
CMP:ADLADNOVIJYIMA-UHFFFAOYSA-N,external,1,"[""REC:b3e37a4e882248d6bd450dfd271c23cfb362e835c8b790e62ae7fd50b5e69de0""]","[""POSITIVE""]",1,0,0,0,false,single_record
CMP:ADNPLDHMAVUMIW-CUZNLEPHSA-N,external,1,"[""REC:863a6966846821e105cd477ed42413efb1d95259e414db30e0d761aaf0662fa0""]",[],0,0,1,0,false,single_record
CMP:ADWFEADZGIHPDE-QGERINELSA-N,external,1,"[""REC:488e3557fa01210c70ac8d0428b521fe40d12143d09540ba7cacb5ead771fb2d""]",[],0,0,1,0,false,single_record
CMP:AECDQNMVIJWYBL-UHFFFAOYSA-N,external,1,"[""REC:39d47dfce928d89241d42a3dd969dc819a418587e1045fb275b3ba7dbfe547b3""]",[],0,0,1,0,false,single_record
CMP:AEEOKVQGQXEZES-UHFFFAOYSA-N,external,1,"[""REC:a6eefcaab18595116a9cb6911860f6e6b3544bcd84aed775b47671568bcc8193""]",[],0,0,1,0,false,single_record
