comparison_scope,compound_id_a,dataset_role_a,compound_id_b,dataset_role_b,relation_type,similarity,label_a,label_b,label_relation
cross_role,CMP:ALBYIUDWACNRRB-UHFFFAOYSA-N,development,CMP:LYRFLYHAGKPMFH-UHFFFAOYSA-N,external,high_similarity,0.94117647058823528,,,not_comparable
cross_role,CMP:ARSRBNBHOADGJU-QRHMKPRTSA-N,external,CMP:ARSRBNBHOADGJU-UHFFFAOYSA-N,development,same_connectivity,,1,1,same
cross_role,CMP:ASHKCODNQLPFEF-UHFFFAOYSA-N,external,CMP:GRUOGLPIAPZLHJ-UHFFFAOYSA-N,development,high_similarity,0.85185185185185186,,,not_comparable
cross_role,CMP:ASHKCODNQLPFEF-UHFFFAOYSA-N,external,CMP:VJNWEQGIPZMBMA-UHFFFAOYSA-N,development,high_similarity,1,,0,not_comparable
cross_role,CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,development,CMP:YILRCDLYJGTFTH-UHFFFAOYSA-N,external,high_similarity,0.86274509803921573,1,,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,same_connectivity,,,1,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,stereo_variant,,,1,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,tautomer_related,,,1,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,same_connectivity,,,1,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,stereo_variant,,,1,not_comparable
cross_role,CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,external,CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,development,tautomer_related,,,1,not_comparable
cross_role,CMP:AYNPIRVEWMUJDE-UHFFFAOYSA-N,external,CMP:LHJGJYXLEPZJPM-UHFFFAOYSA-N,development,high_similarity,0.8571428571428571,,,not_comparable
cross_role,CMP:BGHCVCJVXZWKCC-UHFFFAOYSA-N,external,CMP:IMNFDUFMRHMDMM-UHFFFAOYSA-N,development,high_similarity,1,,,not_comparable
