split,descriptor,count,missing,mean,std,min,p05,p25,median,p75,p95,max,summary_status
train,aromatic_ring_count,736,0,1.0040760869565217,1.1789525171477586,0,0,0,1,2,3,10,ok
train,crippen_logp,736,0,1.9806672554347831,2.4169848438023331,-15.230600000000031,-1.029425,0.67572500000000013,1.7505500000000001,3.154650000000002,6.0575000000000037,12.605799999999977,ok
train,hba,736,0,3.6195652173913042,3.795284234370297,0,0,2,3,5,8.25,46,ok
train,hbd,736,0,1.2921195652173914,2.013606667597005,0,0,0,1,2,4,25,ok
train,heavy_atom_count,736,0,16.118206521739129,11.406562519995504,2,5,9,14,20,34,122,ok
train,molecular_weight,736,0,246.00880570652174,171.71463021160486,44.052999999999997,85.833999999999989,137.88699999999997,207.31649999999999,301.12925000000007,562.12000000000023,1701.2060000000006,ok
train,ring_count,736,0,1.5665760869565217,1.6741065802501529,0,0,0,1,2,5,21,ok
train,rotatable_bonds,736,0,3.3029891304347827,3.9554986191337256,0,0,1,2,4,11,38,ok
train,tpsa,736,0,62.057690217391311,65.884454200234003,0,0,26.300000000000001,47.560000000000002,78.840000000000003,153.69,777.98000000000047,ok
validation,aromatic_ring_count,185,0,0.92972972972972978,0.96446732668933799,0,0,0,1,2,3,4,ok
validation,crippen_logp,185,0,1.8537837297297308,2.1080214477463279,-5.3955999999999928,-0.99487999999999976,0.42749999999999982,1.8525,3.0592000000000015,5.7091600000000033,10.912199999999988,ok
validation,hba,185,0,3.4756756756756757,2.5342417604125971,0,0,2,3,5,8,16,ok
validation,hbd,185,0,1.1297297297297297,1.415906712621235,0,0,0,1,2,4,8,ok
validation,heavy_atom_count,185,0,15.627027027027028,9.5485289272717413,3,5,10,14,19,29,85,ok
validation,molecular_weight,185,0,235.91820540540542,142.71101718602992,41.052999999999997,77.660400000000024,144.13400000000001,213.23600000000002,289.15800000000002,441.73760000000004,1202.6349999999991,ok
validation,ring_count,185,0,1.5135135135135136,1.4146267127068792,0,0,0,1,2,4,8,ok
validation,rotatable_bonds,185,0,3.0162162162162161,3.471078461080976,0,0,1,2,4,9.7999999999999829,21,ok
validation,tpsa,185,0,61.892540540540544,46.258303944437088,0,0,32.670000000000002,52.600000000000001,80.920000000000002,143.32599999999999,278.80000000000001,ok
external_test,aromatic_ring_count,455,0,1.8065934065934066,1.6607824316361406,0,0,0,2,3,5,6,ok
external_test,crippen_logp,455,0,2.7217843956043968,2.4158013485022067,-7.7035800000000352,-1.1298899999999998,1.0164,2.9003000000000014,4.4377100000000009,6.2608580000000007,12.937999999999976,ok
external_test,hba,455,0,3.3802197802197802,3.024159851733951,0,0,2,3,4,8,31,ok
external_test,hbd,455,0,1.2373626373626374,1.9946989280463077,0,0,0,1,2,4,20,ok
external_test,heavy_atom_count,455,0,18.85934065934066,10.262167562545129,2,6,12,19,23,33.299999999999955,96,ok
external_test,molecular_weight,455,0,269.44115164835171,149.60318314838315,42.112999999999992,104.50139999999999,172.69999999999999,262.22499999999997,308.38100000000003,504.38230000000004,1415.5760000000005,ok
external_test,ring_count,455,0,2.5604395604395602,1.9329917096676237,0,0,1,2,4,6,10,ok
external_test,rotatable_bonds,455,0,2.9274725274725273,3.9409394187163689,0,0,0,2,4,9,35,ok
external_test,tpsa,455,0,60.188329670329672,61.28775047698096,0,0,29.835000000000001,49.740000000000002,69.969999999999999,138.22999999999996,627.07000000000005,ok
external_tautomer_sensitivity,aromatic_ring_count,455,0,1.8065934065934066,1.6607824316361406,0,0,0,2,3,5,6,ok
external_tautomer_sensitivity,crippen_logp,455,0,2.7217843956043968,2.4158013485022067,-7.7035800000000352,-1.1298899999999998,1.0164,2.9003000000000014,4.4377100000000009,6.2608580000000007,12.937999999999976,ok
external_tautomer_sensitivity,hba,455,0,3.3802197802197802,3.024159851733951,0,0,2,3,4,8,31,ok
external_tautomer_sensitivity,hbd,455,0,1.2373626373626374,1.9946989280463077,0,0,0,1,2,4,20,ok
external_tautomer_sensitivity,heavy_atom_count,455,0,18.85934065934066,10.262167562545129,2,6,12,19,23,33.299999999999955,96,ok
external_tautomer_sensitivity,molecular_weight,455,0,269.44115164835171,149.60318314838315,42.112999999999992,104.50139999999999,172.69999999999999,262.22499999999997,308.38100000000003,504.38230000000004,1415.5760000000005,ok
external_tautomer_sensitivity,ring_count,455,0,2.5604395604395602,1.9329917096676237,0,0,1,2,4,6,10,ok
external_tautomer_sensitivity,rotatable_bonds,455,0,2.9274725274725273,3.9409394187163689,0,0,0,2,4,9,35,ok
external_tautomer_sensitivity,tpsa,455,0,60.188329670329672,61.28775047698096,0,0,29.835000000000001,49.740000000000002,69.969999999999999,138.22999999999996,627.07000000000005,ok
