connectivity_key,contribution_type,contributor_id,source_dataset
AAEVYOVXGOFMJO,compound_role,CMP:AAEVYOVXGOFMJO-UHFFFAOYSA-N,iris
AAOVKJBEBIDNHE,compound_role,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb
ABNDFSOIUFLJAH,compound_role,CMP:ABNDFSOIUFLJAH-UHFFFAOYSA-N,cpdb
ABVBOWJCKJGCJM,compound_role,CMP:ABVBOWJCKJGCJM-DMTCNVIQSA-N,cpdb
ACGUYXCXAPNIKK,compound_role,CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,cpdb
ACGUYXCXAPNIKK,compound_role,CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,iris
AEOCXXJPGCBFJA,compound_role,CMP:AEOCXXJPGCBFJA-UHFFFAOYSA-N,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:03ab9d7ab373f2b32787ac05fc0c83ac1fd876be6ee05054a9caa32f82e7adb7,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:0442570f7abf47203cbfd0b496833ad5135f4fd294795638e2e876e7f353563b,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:052da12aeb8d58b55291b175435af51699e97d427ac11b491a4c7d03a41a7599,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:0cb2546dbfbb0c12e6a4cf6804c391245297af3e650d1adff3dac19d0f2b08bb,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:0ce1fa65d1c23cd03ab0a63ad2d4c770ae114226d8fc61863382d7f1b2fe7f49,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:0f88233fa5ad90ad7b128b4b11e5b7d859d1d572e2213d315b4d48cd5825ead9,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:107d86cffae6a9ef3997caa647ef48a234fb2607afdfe88a99334d45c55d9742,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:124a54a64c7ca4ed8a7be41767db3ba85155a7e8dad58f4f0f372af2bd2b75b5,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:184476392193985becbfc38497115ec1d749a5bec5da59936a0ead4b6303121e,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:1e466ca9a6e402b4f20650c6798bb32c69546d5ae5b5fa2bf621b6eca8e87a19,cpdb
AFAIELJLZYUNPW,excluded_record_component,REC:1f8d50d5a87c1951e206936c0a3d1e7f04d2d3a537814acb1d46a8083fd123fb,cpdb
