standardized_inchikey,compound_id,source_dataset,record_key
AAEVYOVXGOFMJO-UHFFFAOYSA-N,CMP:AAEVYOVXGOFMJO-UHFFFAOYSA-N,iris,REC:59b72820584bf02148151d270d9b0d1b556f03cb8184f1dd8b67093245ceaa09
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:230ba47e6723c719d93b49b0989afad550eb3b231f47f802853c25ebbb1d3e74
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:2a871d1c679303fb0d0cede83edd68426f3484c51b42064bc0a3b71242975db5
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:2d72d518ad60424b9a3b35c31fcd042a0c618719aaf43ca453c2565e8bdf620d
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:2edc3fadac8a2c35d0ce1492a6a196b7a292fc9a7e0cb3dfe333f98767073064
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:3e9e2b238675091a4d311fc6fa72fb851c284076259056d3b05fc9a51e6975a7
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:402ff4a3ba969a05f2acebba372280b0c8fe36f4774ba5fdce33e79778396a5c
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:4889343b7fe8e7cba0a790af9ae701e8c9a892951837c27338485f2a93e4a2f0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:558ea6f581d95bf602bc1d5fe3dc6907ee6eacd36d75d7ecc49da1db862e8ba7
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:702e12c086d47064e051250970b697da8d31dc80ab6a267b3a3ff8435907e9c7
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:707752acdb904445d3a35fc97fcd73094ecf5fa1724290be8bf408c2195fca24
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:71b863c02e7782b1ecc79243f5db74685890872d9dde933f8cc05b6b78f170fc
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:8454c5a6447bcb45f81e26e2ce63fd40b68a18b5ca331266781652451a347eca
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:890b72a242fbac3caf94f5c31269d3d62f39e665d28d64fe95ace61d58b35813
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:9a5e19dec3e94db45cd6b04570a45abf85a2c3b0815d3932a008b0bd87c192f6
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:a008c8bce9962a192b8289ec41fdb7b517e6192da7e5a9edae806aff4d5f9a4b
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,cpdb,REC:a24f18c652f9c16083be194b94e32429e47bba465151ee2d90c4050ed3b235b5
