query_compound_id,query_split,nearest_compound_id,nearest_split,similarity,query_label,nearest_label,label_relation
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,train,CMP:MWQCHHACWWAQLJ-UHFFFAOYSA-N,train,0.64000000000000001,0,0,same
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,train,CMP:JFIOVJDNOJYLKP-UHFFFAOYSA-N,train,0.33333333333333331,0,0,same
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,train,CMP:JUZXDNPBRPUIOR-UHFFFAOYSA-N,train,0.52941176470588236,1,0,opposite
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,train,CMP:MHKLKWCYGIBEQF-UHFFFAOYSA-N,train,0.52777777777777779,0,0,same
CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N,train,CMP:QEQYAQFYVFRGQD-YFKPBYRVSA-N,train,0.31372549019607843,1,1,same
CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,train,CMP:UJOBWOGCFQCDNV-UHFFFAOYSA-N,train,0.60869565217391308,0,1,opposite
CMP:AIPSXDXZFKITIG-JNQJZLCISA-N,train,CMP:UNISKOOZAQCSPC-KWVAZRHASA-N,train,0.4642857142857143,1,1,same
CMP:AJDIZQLSFPQPEY-UHFFFAOYSA-N,train,CMP:PXBRQCKWGAHEHS-UHFFFAOYSA-N,train,0.55555555555555558,0,0,same
CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N,train,CMP:MATYBIXNDNXYMI-UHFFFAOYSA-N,train,0.64000000000000001,1,1,same
CMP:AKZHPJMVGQRYGX-UHFFFAOYSA-N,train,CMP:VTOUNUQLXMNNMQ-UHFFFAOYSA-N,train,0.70967741935483875,1,0,opposite
CMP:ALCSGJCIESECFD-UHFFFAOYSA-N,train,CMP:XFNJVKMNNVCYEK-UHFFFAOYSA-N,train,0.1864406779661017,1,0,opposite
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,train,CMP:RJKGJBPXVHTNJL-UHFFFAOYSA-N,train,0.56666666666666665,1,0,opposite
CMP:AMIMRNSIRUDHCM-UHFFFAOYSA-N,train,CMP:IKHGUXGNUITLKF-UHFFFAOYSA-N,train,0.36363636363636365,0,1,opposite
CMP:AMTPYFGPPVFBBI-UHFFFAOYSA-N,train,CMP:SVLDILRDQOVJED-UHFFFAOYSA-N,train,0.53333333333333333,1,1,same
CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,train,CMP:GFIXPWIVPHYTAJ-UHFFFAOYSA-N,train,0.53333333333333333,0,1,opposite
CMP:ANASRAPCLNYZFM-UHFFFAOYSA-N,train,CMP:MATYBIXNDNXYMI-UHFFFAOYSA-N,train,0.53333333333333333,1,1,same
CMP:APNSGVMLAYLYCT-UHFFFAOYSA-N,train,CMP:SRSYSQPJIQFKKN-UHFFFAOYSA-N,train,0.26666666666666666,1,1,same
CMP:AQIXAKUUQRKLND-UHFFFAOYSA-N,train,CMP:MOMKQYRYLQUFMV-UHFFFAOYSA-N,train,0.19736842105263158,0,1,opposite
CMP:ARHWPKZXBHOEEE-UHFFFAOYSA-N,train,CMP:SMYMJHWAQXWPDB-UHFFFAOYSA-N,train,0.38095238095238093,0,0,same
CMP:ARSRBNBHOADGJU-UHFFFAOYSA-N,train,CMP:LHRCREOYAASXPZ-UHFFFAOYSA-N,train,0.40740740740740738,1,1,same
CMP:ARZWATDYIYAUTA-UHFFFAOYSA-N,train,CMP:DVCCCQNKIYNAKB-UHFFFAOYSA-N,train,0.52380952380952384,1,1,same
CMP:ASWVTGNCAZCNNR-UHFFFAOYSA-N,train,CMP:NHUHCSRWZMLRLA-UHFFFAOYSA-N,train,0.5,1,0,opposite
CMP:ATFARZXNCCWOKJ-UHFFFAOYSA-N,train,CMP:HKJKONMZMPUGHJ-UHFFFAOYSA-N,train,0.6333333333333333,1,0,opposite
CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,train,CMP:DADTZHAWDPZVFJ-UHFFFAOYSA-N,train,0.59090909090909094,0,0,same
CMP:AVESHLVLHJKUKQ-UHFFFAOYSA-N,train,CMP:WDAHFRFQQRIZTK-UHFFFAOYSA-N,train,0.42857142857142855,1,1,same
CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,train,CMP:JIWAGFGPBKDFQN-UHFFFAOYSA-N,train,0.30769230769230771,1,1,same
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,train,CMP:FQYUMYWMJTYZTK-UHFFFAOYSA-N,train,0.37931034482758619,1,1,same
CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N,train,CMP:LMBWSYZSUOEYSN-UHFFFAOYSA-N,train,0.27272727272727271,0,0,same
CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,train,CMP:BUXVIXBGMQXWGT-UHFFFAOYSA-N,train,0.56756756756756754,1,1,same
CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N,train,CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,train,0.26666666666666666,1,0,opposite
CMP:BABMCXWQNSQAOC-UHFFFAOYSA-M,train,CMP:HRYZWHHZPQKTII-UHFFFAOYSA-N,train,0.20000000000000001,0,1,opposite
CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,train,CMP:WHGYBXFWUBPSRW-FOUAGVGXSA-N,train,0.25,0,0,same
CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N,train,CMP:WSWCOQWTEOXDQX-UHFFFAOYSA-N,train,0.38095238095238093,1,0,opposite
CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,train,CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N,train,0.52173913043478259,0,0,same
CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N,train,CMP:OZQDLJNDRVBCST-SHUUEZRQSA-N,train,0.29508196721311475,0,0,same
CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N,train,CMP:LSWYGACWGAICNM-UHFFFAOYSA-N,train,0.17647058823529413,1,0,opposite
CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N,train,CMP:CFBYEGUGFPZCNF-UHFFFAOYSA-N,train,0.35185185185185186,1,1,same
CMP:BBPLSOGERZQYQC-UHFFFAOYSA-N,train,CMP:UQMRAFJOBWOFNS-UHFFFAOYSA-N,train,0.71111111111111114,0,0,same
CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N,train,CMP:SVCNNZDUGWLODJ-RAYFHMIRSA-N,train,0.6875,1,1,same
CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N,train,CMP:LFQSCWFLJHTTHZ-UHFFFAOYSA-N,train,0.55555555555555558,0,0,same
CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N,train,CMP:XPFVYQJUAUNWIW-UHFFFAOYSA-N,train,0.33333333333333331,1,0,opposite
CMP:BETVNUCOOCCCIO-UHFFFAOYSA-N,train,CMP:MCWXGJITAZMZEV-UHFFFAOYSA-N,train,0.48571428571428571,0,0,same
CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N,train,CMP:CYTYCFOTNPOANT-UHFFFAOYSA-N,train,0.1111111111111111,1,1,same
CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N,train,CMP:IMSSROKUHAOUJS-MJCUULBUSA-N,train,0.75471698113207553,1,0,opposite
CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N,train,CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,train,0.52173913043478259,0,0,same
CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,train,CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N,train,0.26666666666666666,0,1,opposite
CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,train,CMP:RDYMFSUJUZBWLH-UHFFFAOYSA-N,train,0.40000000000000002,1,0,opposite
CMP:BIXZHMJUSMUDOQ-UHFFFAOYSA-N,train,CMP:UATJOMSPNYCXIX-UHFFFAOYSA-N,train,0.54545454545454541,0,0,same
