compound_id,standardized_inchikey,normalized_label,murcko_scaffold,group_key,fold_id
CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE-UHFFFAOYSA-N,0,O=C1CN=C(c2ccccc2)c2ccccc2N1,CMP:AAOVKJBEBIDNHE-UHFFFAOYSA-N,3
CMP:ABVBOWJCKJGCJM-DMTCNVIQSA-N,ABVBOWJCKJGCJM-DMTCNVIQSA-N,0,C1CCNC1,CMP:ABVBOWJCKJGCJM-DMTCNVIQSA-N,4
CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,ACGUYXCXAPNIKK-UHFFFAOYSA-N,0,c1ccc(Cc2ccccc2)cc1,CMP:ACGUYXCXAPNIKK-UHFFFAOYSA-N,4
CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,AFLXUQUGROGEFA-UHFFFAOYSA-N,1,,CMP:AFLXUQUGROGEFA-UHFFFAOYSA-N,4
CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,AFZSMODLJJCVPP-UHFFFAOYSA-N,0,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,CMP:AFZSMODLJJCVPP-UHFFFAOYSA-N,2
CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N,AGRCPNMCOXLKFO-BDVNFPICSA-N,1,,CMP:AGRCPNMCOXLKFO-BDVNFPICSA-N,4
CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,AIFRHYZBTHREPW-UHFFFAOYSA-N,0,c1ccc2c(c1)[nH]c1cnccc12,CMP:AIFRHYZBTHREPW-UHFFFAOYSA-N,4
CMP:AIPSXDXZFKITIG-JNQJZLCISA-N,AIPSXDXZFKITIG-JNQJZLCISA-N,1,O=C1C=CC2C(=CCC3C2CCC2C3CC3OCOC32)C1,CMP:AIPSXDXZFKITIG-JNQJZLCISA-N,1
CMP:AJDIZQLSFPQPEY-UHFFFAOYSA-N,AJDIZQLSFPQPEY-UHFFFAOYSA-N,0,,CMP:AJDIZQLSFPQPEY-UHFFFAOYSA-N,1
CMP:AJFDBNQQDYLMJN-UHFFFAOYSA-N,AJFDBNQQDYLMJN-UHFFFAOYSA-N,1,,CMP:AJFDBNQQDYLMJN-UHFFFAOYSA-N,3
CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N,AKRYBBWYDSDZHG-UHFFFAOYSA-N,1,,CMP:AKRYBBWYDSDZHG-UHFFFAOYSA-N,2
CMP:AKZHPJMVGQRYGX-UHFFFAOYSA-N,AKZHPJMVGQRYGX-UHFFFAOYSA-N,1,c1ccc(-c2cscn2)cc1,CMP:AKZHPJMVGQRYGX-UHFFFAOYSA-N,4
CMP:ALCSGJCIESECFD-UHFFFAOYSA-N,ALCSGJCIESECFD-UHFFFAOYSA-N,1,N=c1cc[nH][nH]1,CMP:ALCSGJCIESECFD-UHFFFAOYSA-N,4
CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,ALRLPDGCPYIVHP-UHFFFAOYSA-N,1,c1cc2ccc3cccc4ccc(c1)c2c34,CMP:ALRLPDGCPYIVHP-UHFFFAOYSA-N,1
CMP:AMIMRNSIRUDHCM-UHFFFAOYSA-N,AMIMRNSIRUDHCM-UHFFFAOYSA-N,0,,CMP:AMIMRNSIRUDHCM-UHFFFAOYSA-N,2
CMP:AMTPYFGPPVFBBI-UHFFFAOYSA-N,AMTPYFGPPVFBBI-UHFFFAOYSA-N,1,O=S(=O)(c1ccccc1)c1ccccc1,CMP:AMTPYFGPPVFBBI-UHFFFAOYSA-N,1
CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,AMTRFSFECFPSHF-UHFFFAOYSA-N,0,c1ccccc1,CMP:AMTRFSFECFPSHF-UHFFFAOYSA-N,0
CMP:ANASRAPCLNYZFM-UHFFFAOYSA-N,ANASRAPCLNYZFM-UHFFFAOYSA-N,1,,CMP:ANASRAPCLNYZFM-UHFFFAOYSA-N,3
CMP:APNSGVMLAYLYCT-UHFFFAOYSA-N,APNSGVMLAYLYCT-UHFFFAOYSA-N,1,,CMP:APNSGVMLAYLYCT-UHFFFAOYSA-N,2
CMP:AQIXAKUUQRKLND-UHFFFAOYSA-N,AQIXAKUUQRKLND-UHFFFAOYSA-N,0,c1c[nH]cn1,CMP:AQIXAKUUQRKLND-UHFFFAOYSA-N,2
