source,source_chemical_id,casrn,name,raw_smiles,canonical_smiles,parent_smiles,standard_inchikey,connectivity_key,structure_category,standardization_notes,manual_review_decision,manual_review_reason,manual_reviewer,structure_provenance
ccris,1037,141-53-7,"FORMIC ACID, SODIUM SALT",[Na+].[O-]C=O,O=C[O-].[Na+],O=CO,BDAGIHXWWSANSR-UHFFFAOYSA-N,BDAGIHXWWSANSR,inorganic_carbon_review,已移除对离子;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,1124,74-87-3,METHYL CHLORIDE,ClC,CCl,CCl,NEHMKBQYUWJMIP-UHFFFAOYSA-N,NEHMKBQYUWJMIP,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,1205,75-52-5,NITROMETHANE,[O-][N+](=O)C,C[N+](=O)[O-],C[N+](=O)[O-],LYGJENNIWJXYER-UHFFFAOYSA-N,LYGJENNIWJXYER,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,136,593-70-4,CHLOROFLUOROMETHANE,ClCF,FCCl,FCCl,XWCDCDSDNJVCLO-UHFFFAOYSA-N,XWCDCDSDNJVCLO,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,137,67-66-3,CHLOROFORM,ClC(Cl)Cl,ClC(Cl)Cl,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,HEDRZPFGACZZDS,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,205,334-88-3,DIAZOMETHANE,[N+](=[N-])=C,C=[N+]=[N-],C=[N+]=[N-],YXHKONLOYHBTNS-UHFFFAOYSA-N,YXHKONLOYHBTNS,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,2301,67-56-1,METHANOL,OC,CO,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,OKKJLVBELUTLKV,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,2478,302-15-8,METHYLHYDRAZINE SULFATE,S(O)([O-])(=O)=O.N([NH3+])C,CN[NH3+].O=S(=O)([O-])O,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,HDZGCSFEDULWCS,inorganic_carbon_review,已移除对离子;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,2508,74-89-5,METHYLAMINE,NC,CN,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,BAVYZALUXZFZLV,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,315,50-00-0,FORMALDEHYDE,O=C,C=O,C=O,WSFSSNUMVMOOMR-UHFFFAOYSA-N,WSFSSNUMVMOOMR,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,346,75-47-8,IODOFORM,IC(I)I,IC(I)I,IC(I)I,OKJPEAGHQZHRQV-UHFFFAOYSA-N,OKJPEAGHQZHRQV,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,3503,4384-81-0,SODIUM DIETHYLDITHIOCARBAMATE,[S-]C(=S)N.[Na+],NC(=S)[S-].[Na+],NC(=S)S,DKVNPHBNOWQYFE-UHFFFAOYSA-N,DKVNPHBNOWQYFE,inorganic_carbon_review,已移除对离子;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,385,74-83-9,METHYL BROMIDE,BrC,CBr,CBr,GZUXJHMPEANEGY-UHFFFAOYSA-N,GZUXJHMPEANEGY,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,392,75-09-2,METHYLENE CHLORIDE,ClCCl,ClCCl,ClCCl,YMWUJEATGCHHMB-UHFFFAOYSA-N,YMWUJEATGCHHMB,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,394,60-34-4,METHYLHYDRAZINE,N(N)C,CNN,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,HDZGCSFEDULWCS,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,395,74-88-4,METHYL IODIDE,IC,CI,CI,INQOMBQAUSQDDS-UHFFFAOYSA-N,INQOMBQAUSQDDS,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,3968,115-09-3,METHYLMERCURY CHLORIDE,[Hg](Cl)C,C[Hg]Cl,C[Hg]Cl,BABMCXWQNSQAOC-UHFFFAOYSA-M,BABMCXWQNSQAOC,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,4486,3031-73-0,METHYL HYDROPEROXIDE,O(O)C,COO,COO,MEUKEBNAABNAEX-UHFFFAOYSA-N,MEUKEBNAABNAEX,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,5269,593-51-1,METHYLAMINE HYDROCHLORIDE,[Cl-].[NH3+]C,C[NH3+].[Cl-],CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,BAVYZALUXZFZLV,inorganic_carbon_review,已移除对离子;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,588,62-56-6,THIOUREA,S=C(N)N,NC(N)=S,NC(N)=S,UMGDCJDMYOKAJW-UHFFFAOYSA-N,UMGDCJDMYOKAJW,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,6039,64-18-6,FORMIC ACID,OC=O,O=CO,O=CO,BDAGIHXWWSANSR-UHFFFAOYSA-N,BDAGIHXWWSANSR,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,6064,1184-57-2,METHYLMERCURY HYDROXIDE,[Hg+]C.[OH-],C[Hg+].[OH-],C[Hg+],DBUXSCUEGJMZAE-UHFFFAOYSA-N,DBUXSCUEGJMZAE,inorganic_carbon_review,已移除对离子;保留形式电荷+1;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,6240,75-12-7,FORMAMIDE,O=CN,NC=O,NC=O,ZHNUHDYFZUAESO-UHFFFAOYSA-N,ZHNUHDYFZUAESO,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,7063,3425-46-5,POTASSIUM SELENOCYANATE,[Se-]C#N.[K+],N#C[Se-].[K+],N#C[SeH],CRDYSYOERSZTHZ-UHFFFAOYSA-N,CRDYSYOERSZTHZ,inorganic_carbon_review,已移除对离子;疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
ccris,7741,75-17-2,FORMALDOXIME,ON=C,C=NO,C=NO,SQDFHQJTAWCFIB-UHFFFAOYSA-N,SQDFHQJTAWCFIB,inorganic_carbon_review,疑似无机含碳小分子，需人工审核,,,,PubChem Substance; original depositor
