compound_id,dataset_role,source,source_record_id,casrn,name,raw_smiles,canonical_smiles,parent_smiles,standard_inchikey,connectivity_key,murcko_scaffold,label_raw,label_binary,label_category,label_candidate,label_confidence,endpoint,species,route,reference,rdkit_mol_ok,standardization_notes,formal_charge_before,formal_charge_after,uncharging_applied,residual_charge,tautomer_standardized,clear_positive_records,clear_negative_records,uncertain_records,nonclear_disagreement,external_overlap,label_evidence_json
DEVELOPMENT:AAEVYOVXGOFMJO-UHFFFAOYSA-N,development,iris,"[""DTXSID4024272:woe:1""]",7287-19-6,Prometryn,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,CSc1nc(NC(C)C)nc(NC(C)C)n1,CSc1nc(NC(C)C)nc(NC(C)C)n1,AAEVYOVXGOFMJO-UHFFFAOYSA-N,AAEVYOVXGOFMJO,c1ncncn1,[],,uncertain,,none,carcinogenicity,human_assessment,,[],True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": """", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID4024272:woe:1""}]"
DEVELOPMENT:ABNDFSOIUFLJAH-UHFFFAOYSA-N,development,cpdb,"[""43145""]",3012-37-1,BENZYL THIOCYANATE,S(Cc1ccccc1)C#N,N#CSCc1ccccc1,N#CSCc1ccccc1,ABNDFSOIUFLJAH-UHFFFAOYSA-N,ABNDFSOIUFLJAH,c1ccccc1,"[""0""]",,uncertain,,none,carcinogenicity,r,eat,"[""2114""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""43145""}]"
DEVELOPMENT:AHTPATJNIAFOLR-UHFFFAOYSA-N,development,iris,"[""DTXSID1024124:woe:1""]",79277-27-3,Harmony,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,AHTPATJNIAFOLR-UHFFFAOYSA-N,AHTPATJNIAFOLR,O=C(Nc1ncncn1)NS(=O)(=O)c1ccsc1,[],,uncertain,,none,carcinogenicity,human_assessment,,[],True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": """", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID1024124:woe:1""}]"
DEVELOPMENT:AIGRXSNSLVJMEA-UHFFFAOYSA-N,development,iris,"[""DTXSID7022174:woe:1""]",2104-64-5,Ethyl p-nitrophenyl phenylphosphorothioate (EPN),CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,AIGRXSNSLVJMEA-UHFFFAOYSA-N,AIGRXSNSLVJMEA,S=[PH](Oc1ccccc1)c1ccccc1,[],,uncertain,,none,carcinogenicity,human_assessment,,[],True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": """", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID7022174:woe:1""}]"
DEVELOPMENT:AJOQSQHYDOFIOX-UHFFFAOYSA-N,development,cpdb,"[""41436""]",90-49-3,ETHYLPHENYLACETYLUREA,O=C(NC(=O)N)C(CC)c1ccccc1,CCC(C(=O)NC(N)=O)c1ccccc1,CCC(C(=O)NC(N)=O)c1ccccc1,AJOQSQHYDOFIOX-UHFFFAOYSA-N,AJOQSQHYDOFIOX,c1ccccc1,"[""0""]",,uncertain,,none,carcinogenicity,r,eat,"[""1951""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""41436""}]"
DEVELOPMENT:ARXJGSRGQADJSQ-UHFFFAOYSA-N,development,iris,"[""DTXSID8024284:woe:1""]",107-98-2,Propylene glycol monomethyl ether (PGME),CC(COC)O,COCC(C)O,COCC(C)O,ARXJGSRGQADJSQ-UHFFFAOYSA-N,ARXJGSRGQADJSQ,,[],,uncertain,,none,carcinogenicity,human_assessment,,[],True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": """", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID8024284:woe:1""}]"
DEVELOPMENT:ATMNQRRJNBCQJO-UHFFFAOYSA-N,development,cpdb,"[""43617""]",148081-72-5,"1-O-HEXYL-2,3,5-TRIMETHYLHYDROQUINONE",O(CCCCCC)c1c(C)c(C)c(O)c(C)c1,CCCCCCOc1cc(C)c(O)c(C)c1C,CCCCCCOc1cc(C)c(O)c(C)c1C,ATMNQRRJNBCQJO-UHFFFAOYSA-N,ATMNQRRJNBCQJO,c1ccccc1,"[""0""]",,uncertain,,none,carcinogenicity,r,eat,"[""2249""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""43617""}]"
DEVELOPMENT:AUHZEENZYGFFBQ-UHFFFAOYSA-N,development,iris,"[""DTXSID6026797:woe:1""]",108-67-8,"1,3,5-Trimethylbenzene",CC1=CC(=CC(=C1)C)C,Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1,AUHZEENZYGFFBQ-UHFFFAOYSA-N,AUHZEENZYGFFBQ,c1ccccc1,"[""Inadequate information to assess carcinogenic potential""]",,uncertain,,none,carcinogenicity,human_assessment,None,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""Inadequate information to assess carcinogenic potential"", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID6026797:woe:1""}]"
DEVELOPMENT:BAFKRPOFIYPKBQ-UHFFFAOYSA-N,development,cpdb,"[""46725""]",76150-91-9,"1,4-BIS[2-(3,5-DICHLOROPYRIDYLOXY)]BENZENE",Clc1c(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)ncc(Cl)c1,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,BAFKRPOFIYPKBQ,c1ccc(Oc2ccc(Oc3ccccn3)cc2)nc1,"[""0""]",,uncertain,,none,carcinogenicity,r,eat,"[""2322""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""46725""}]"
DEVELOPMENT:BAPJBEWLBFYGME-UHFFFAOYSA-N,development,iris,"[""DTXSID0024183:woe:1""]",96-33-3,Methyl acrylate,COC(=O)C=C,C=CC(=O)OC,C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,BAPJBEWLBFYGME,,"[""D (Not classifiable as to human carcinogenicity)""]",,uncertain,,none,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""D (Not classifiable as to human carcinogenicity)"", ""label_reason"": ""无法二分类或证据权重不足"", ""source"": ""iris"", ""source_record_id"": ""DTXSID0024183:woe:1""}]"
