compound_id,dataset_role,source,source_record_id,casrn,name,raw_smiles,canonical_smiles,parent_smiles,standard_inchikey,connectivity_key,murcko_scaffold,label_raw,label_binary,label_category,label_candidate,label_confidence,endpoint,species,route,reference,rdkit_mol_ok,standardization_notes,formal_charge_before,formal_charge_after,uncharging_applied,residual_charge,tautomer_standardized,clear_positive_records,clear_negative_records,uncertain_records,nonclear_disagreement,external_overlap,label_evidence_json
DEVELOPMENT:BGZZWXTVIYUUEY-UHFFFAOYSA-N,development,iris,"[""DTXSID7024112:woe:1""]",72178-02-0,Fomesafen,CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],BGZZWXTVIYUUEY-UHFFFAOYSA-N,BGZZWXTVIYUUEY,c1ccc(Oc2ccccc2)cc1,"[""C (Possible human carcinogen)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID7024112:woe:1""}]"
DEVELOPMENT:DMLAVOWQYNRWNQ-UHFFFAOYSA-N,development,iris,"[""DTXSID8020123:woe:1""]",103-33-3,Azobenzene,C1=CC=C(C=C1)N=NC2=CC=CC=C2,c1ccc(N=Nc2ccccc2)cc1,c1ccc(N=Nc2ccccc2)cc1,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,DMLAVOWQYNRWNQ,c1ccc(N=Nc2ccccc2)cc1,"[""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID8020123:woe:1""}]"
DEVELOPMENT:DXBHBZVCASKNBY-UHFFFAOYSA-N,development,iris,"[""DTXSID5023902:woe:1""]",56-55-3,Benz[a]anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,c1ccc2cc3c(ccc4ccccc43)cc2c1,c1ccc2cc3c(ccc4ccccc43)cc2c1,DXBHBZVCASKNBY-UHFFFAOYSA-N,DXBHBZVCASKNBY,c1ccc2cc3c(ccc4ccccc43)cc2c1,"[""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID5023902:woe:1""}]"
DEVELOPMENT:FTOVXSOBNPWTSH-UHFFFAOYSA-N,development,iris,"[""DTXSID0023907:woe:1""]",205-99-2,Benzo[b]fluoranthene,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,FTOVXSOBNPWTSH-UHFFFAOYSA-N,FTOVXSOBNPWTSH,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,"[""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID0023907:woe:1""}]"
DEVELOPMENT:HAXBIWFMXWRORI-UHFFFAOYSA-N,development,iris,"[""DTXSID0023909:woe:1""]",207-08-9,Benzo[k]fluoranthene,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,HAXBIWFMXWRORI-UHFFFAOYSA-N,HAXBIWFMXWRORI,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,"[""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID0023909:woe:1""}]"
DEVELOPMENT:INFDPOAKFNIJBF-UHFFFAOYSA-N,development,iris,"[""DTXSID7024243:woe:1""]",1910-42-5,Paraquat,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-],C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],C[n+]1ccc(-c2cc[n+](C)cc2)cc1,INFDPOAKFNIJBF-UHFFFAOYSA-N,INFDPOAKFNIJBF,c1cc(-c2cc[nH+]cc2)cc[nH+]1,"[""C (Possible human carcinogen)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,已移除对离子;保留形式电荷+2,[2],2,False,True,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID7024243:woe:1""}]"
DEVELOPMENT:IWDCLRJOBJJRNH-UHFFFAOYSA-N,development,iris,"[""DTXSID7021869:woe:1""]",106-44-5,4-Methylphenol,CC1=CC=C(C=C1)O,Cc1ccc(O)cc1,Cc1ccc(O)cc1,IWDCLRJOBJJRNH-UHFFFAOYSA-N,IWDCLRJOBJJRNH,c1ccccc1,"[""C (Possible human carcinogen)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID7021869:woe:1""}]"
DEVELOPMENT:NUMQCACRALPSHD-UHFFFAOYSA-N,development,iris,"[""DTXSID0025604:woe:1""]",637-92-3,Ethyl Tertiary Butyl Ether (ETBE),CCOC(C)(C)C,CCOC(C)(C)C,CCOC(C)(C)C,NUMQCACRALPSHD-UHFFFAOYSA-N,NUMQCACRALPSHD,,"[""Suggestive evidence of carcinogenic potential""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Inhalation,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Suggestive evidence of carcinogenic potential"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID0025604:woe:1""}]"
DEVELOPMENT:OSDWBNJEKMUWAV-UHFFFAOYSA-N,development,cpdb|iris,"[""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""DTXSID4039231:woe:1""]",107-05-1,ALLYL CHLORIDE,ClCC=C,C=CCCl,C=CCCl,OSDWBNJEKMUWAV-UHFFFAOYSA-N,OSDWBNJEKMUWAV,,"[""0"", ""C (Possible human carcinogen)"", ""a""]",,uncertain,positive,medium,carcinogenicity,human_assessment|m|r,Undefined|gav,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)"", ""TR73""]",True,,[0],0,False,False,False,0,0,13,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""a"", ""label_reason"": ""提示性阳性证据"", ""source"": ""cpdb"", ""source_record_id"": ""57""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""58""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""59""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""60""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""a"", ""label_reason"": ""提示性阳性证据"", ""source"": ""cpdb"", ""source_record_id"": ""61""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""62""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""63""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""无明确判断"", ""source"": ""cpdb"", ""source_record_id"": ""64""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""实验证据不足"", ""source"": ""cpdb"", ""source_record_id"": ""65""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""实验证据不足"", ""source"": ""cpdb"", ""source_record_id"": ""66""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""实验证据不足"", ""source"": ""cpdb"", ""source_record_id"": ""67""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""0"", ""label_reason"": ""实验证据不足"", ""source"": ""cpdb"", ""source_record_id"": ""68""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID4039231:woe:1""}]"
DEVELOPMENT:PHVNLLCAQHGNKU-UHFFFAOYSA-N,development,iris,"[""DTXSID0024052:woe:1""]",55290-64-7,Dimethipin,CC1=C(S(=O)(=O)CCS1(=O)=O)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,PHVNLLCAQHGNKU-UHFFFAOYSA-N,PHVNLLCAQHGNKU,O=S1(=O)C=CS(=O)(=O)CC1,"[""C (Possible human carcinogen)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID0024052:woe:1""}]"
DEVELOPMENT:PMHURSZHKKJGBM-UHFFFAOYSA-N,development,iris,"[""DTXSID8024159:woe:1""]",82558-50-7,Isoxaben,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,PMHURSZHKKJGBM-UHFFFAOYSA-N,PMHURSZHKKJGBM,O=C(Nc1ccno1)c1ccccc1,"[""C (Possible human carcinogen)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""C (Possible human carcinogen)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID8024159:woe:1""}]"
DEVELOPMENT:QTDRLOKFLJJHTG-UHFFFAOYSA-N,development,iris,"[""DTXSID2024119:woe:1""]",60568-05-0,Furmecyclox,CC1=CC(=C(O1)C)C(=O)N(C2CCCCC2)OC,CON(C(=O)c1cc(C)oc1C)C1CCCCC1,CON(C(=O)c1cc(C)oc1C)C1CCCCC1,QTDRLOKFLJJHTG-UHFFFAOYSA-N,QTDRLOKFLJJHTG,O=C(NC1CCCCC1)c1ccoc1,"[""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)""]",,uncertain,positive,medium,carcinogenicity,human_assessment,Undefined,"[""Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)""]",True,,[0],0,False,False,False,0,0,1,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals)"", ""label_reason"": ""较弱的阳性证据权重"", ""source"": ""iris"", ""source_record_id"": ""DTXSID2024119:woe:1""}]"
