source,label_raw,label_category,label_candidate,label_reason,count
ccris,,excluded,,无致癌性试验记录,7795
ccris,,uncertain,,无法映射的结果,4
ccris,20% TUMOR INCIDENCE; 0.23 CARCINOMAS/RAT; IMMATURE RATS LESS SUSCEPTIBLE,uncertain,,无法映射的结果,1
ccris,46% TUMOR INCIDENCE; 0.54 CARCINOMAS/RAT; MATURE RATS LESS SUSCEPTIBLE,uncertain,,无法映射的结果,1
ccris,69% TUMOR INCIDENCE; 1.27 CARCINOMAS/RAT; MATURE RATS MORE SUSCEPTIBLE,uncertain,,无法映射的结果,1
ccris,76% TUMOR INCIDENCE; 0.92 CARCINOMAS/RAT; IMMATURE RATS MORE SUSCEPTIBLE,uncertain,,无法映射的结果,1
ccris,EQUIVOCAL,uncertain,,带限制性描述的结果,188
ccris,"EQUIVOCAL; NONE OF THE TUMOR INCIDENCES REACHED STATISTICAL SIGNIFICANCE; FOR THE THYROID, THE INCREASE IN TUMORS WAS MINIMAL",uncertain,,带限制性描述的结果,1
ccris,EQUIVOCAL; NONE OF THE TUMOR INCIDENCES REACHED STATISTICAL SIGNIFICANCE; IN SOME CASES THE INCREASES IN TUMORS WERE MINIMAL,uncertain,,带限制性描述的结果,1
ccris,EQUIVOCAL; NTP SAYS MARGINAL INCREASE IN UTERINE TUMORS BUT P VALUES DID NOT REACH SIGNIFICANCE,uncertain,,带限制性描述的结果,1
ccris,EQUIVOCAL; P=0.047 AT MEDIAN DOSE FOR HEMANGIOSARCOMA,uncertain,,带限制性描述的结果,1
ccris,EQUIVOCAL; THYROID TUMORS DID NOT REACH STATISTICAL SIGNIFICANCE,uncertain,,带限制性描述的结果,1
ccris,Equivocal,uncertain,,带限制性描述的结果,9
ccris,Equivocal (based on reanalysis of histologic sections archived from a 1984 study). Authors note unusually low incidence in controls,uncertain,,带限制性描述的结果,1
ccris,"Equivocal, CA DPR described results as providing marginal evidence of treatment effects",uncertain,,带限制性描述的结果,1
ccris,"Equivocal, CA DPR noted rarity of the tumors but that MTD not achieved",uncertain,,带限制性描述的结果,1
