compound_id,dataset_role,source,source_record_id,casrn,name,raw_smiles,canonical_smiles,parent_smiles,standard_inchikey,connectivity_key,murcko_scaffold,label_raw,label_binary,label_category,label_candidate,label_confidence,endpoint,species,route,reference,rdkit_mol_ok,standardization_notes,formal_charge_before,formal_charge_after,uncharging_applied,residual_charge,tautomer_standardized,clear_positive_records,clear_negative_records,uncertain_records,nonclear_disagreement,external_overlap,label_evidence_json
EXTERNAL:AEMRFAOFKBGASW-UHFFFAOYSA-N,external,ccris,"[""9474:cstu:1"", ""9474:cstu:2""]",79-14-1,GLYCOLIC ACID,OCC(O)=O,O=C(O)CO,O=C(O)CO,AEMRFAOFKBGASW-UHFFFAOYSA-N,AEMRFAOFKBGASW,,"[""Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL.""]",,uncertain,negative,medium,carcinogenicity,Mouse,Dermal,"[""[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-524 Y07]"", ""[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES]""]",True,,[0],0,False,False,False,0,0,2,False,False,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9474:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9474:cstu:2""}]"
EXTERNAL:BMTAFVWTTFSTOG-UHFFFAOYSA-N,external,ccris,"[""9244:cstu:1"", ""9244:cstu:2"", ""9244:cstu:3"", ""9244:cstu:4""]",2008-41-5,BUTYLATE,S(C(=O)N(CC(C)C)CC(C)C)CC,CCSC(=O)N(CC(C)C)CC(C)C,CCSC(=O)N(CC(C)C)CC(C)C,BMTAFVWTTFSTOG-UHFFFAOYSA-N,BMTAFVWTTFSTOG,,"[""Negative; Probable purity of 97-98%"", ""Negative; Probable purity of 97-98% (There were probably 10 animals in each interim sacrifice, but the information is not given by CA DPR)""]",,uncertain,negative,medium,carcinogenicity,Mouse|Rat,Oral,"[""[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR BUTYLATE (FEBRUARY 27, 1998)]""]",True,,[0],0,False,False,False,0,0,4,False,True,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Probable purity of 97-98%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9244:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Probable purity of 97-98%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9244:cstu:2""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Probable purity of 97-98% (There were probably 10 animals in each interim sacrifice, but the information is not given by CA DPR)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9244:cstu:3""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Probable purity of 97-98% (There were probably 10 animals in each interim sacrifice, but the information is not given by CA DPR)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9244:cstu:4""}]"
EXTERNAL:CWFOCCVIPCEQCK-UHFFFAOYSA-N,external,ccris,"[""9252:cstu:1"", ""9252:cstu:2"", ""9252:cstu:3"", ""9252:cstu:4""]",122453-73-0,CHLORFENAPYR,Brc1c(C(F)(F)F)n(COCC)c(-c2ccc(Cl)cc2)c1C#N,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,CWFOCCVIPCEQCK-UHFFFAOYSA-N,CWFOCCVIPCEQCK,c1ccc(-c2ccc[nH]2)cc1,"[""Negative (Study details not given in source; purity 94.5%)""]",,uncertain,negative,medium,carcinogenicity,Mouse|Rat,Oral,"[""[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CHLORFENAPYR (AUGUST 24, 2001)]""]",True,,[0],0,False,False,False,0,0,4,False,False,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not given in source; purity 94.5%)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9252:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not given in source; purity 94.5%)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9252:cstu:2""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not given in source; purity 94.5%)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9252:cstu:3""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not given in source; purity 94.5%)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9252:cstu:4""}]"
EXTERNAL:FJDPATXIBIBRIM-UHFFFAOYSA-N,external,ccris,"[""9268:cstu:1"", ""9268:cstu:2""]",39515-40-7,CYPHENOTHRIN,O(C(=O)C1C(C)(C)C1C=C(C)C)C(c1cc(Oc2ccccc2)ccc1)C#N,CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,FJDPATXIBIBRIM-UHFFFAOYSA-N,FJDPATXIBIBRIM,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,"[""Negative (Study details not presented by DPR evaluator)""]",,uncertain,negative,medium,carcinogenicity,Mouse,Oral,"[""[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CYPHENOTHRIN (MAY 1, 1995)]""]",True,,[0],0,False,False,False,0,0,2,False,False,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not presented by DPR evaluator)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9268:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (Study details not presented by DPR evaluator)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9268:cstu:2""}]"
EXTERNAL:GEHJBWKLJVFKPS-UHFFFAOYSA-N,external,ccris,"[""8228:cstu:1"", ""8228:cstu:2"", ""8228:cstu:3"", ""8228:cstu:4""]",5589-96-8,BROMOCHLOROACETIC ACID,BrC(Cl)C(O)=O,O=C(O)C(Cl)Br,O=C(O)C(Cl)Br,GEHJBWKLJVFKPS-UHFFFAOYSA-N,GEHJBWKLJVFKPS,,"[""Positive (some of the p values do not reach significance.) Authors describe as clear evidence."", ""Positive. Authors describe as clear evidence"", ""Positive. Authors describe as clear evidence.""]",,uncertain,positive,medium,carcinogenicity,Mouse|Rat,Oral,"[""[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-549 Y09]""]",True,,[0],0,False,False,False,0,0,4,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive. Authors describe as clear evidence."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""8228:cstu:1""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (some of the p values do not reach significance.) Authors describe as clear evidence."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""8228:cstu:2""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive. Authors describe as clear evidence"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""8228:cstu:3""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive. Authors describe as clear evidence"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""8228:cstu:4""}]"
EXTERNAL:NDSBDLSWTGLNQA-UHFFFAOYSA-N,external,ccris,"[""2673:cstu:1"", ""2673:cstu:2"", ""2673:cstu:3"", ""2673:cstu:4""]",3252-43-5,DIBROMOACETONITRILE,BrC(Br)C#N,N#CC(Br)Br,N#CC(Br)Br,NDSBDLSWTGLNQA-UHFFFAOYSA-N,NDSBDLSWTGLNQA,,"[""Positive (NTP describes as Clear Evidence)"", ""Positive (NTP describes as Some Evidence)""]",,uncertain,positive,medium,carcinogenicity,Mouse|Rat,Oral,"[""[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-544 Y10]""]",True,,[0],0,False,False,False,0,0,4,False,False,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Some Evidence)"", ""label_reason"": ""带限制性描述的结果"", ""source"": ""ccris"", ""source_record_id"": ""2673:cstu:1""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Clear Evidence)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""2673:cstu:2""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Clear Evidence)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""2673:cstu:3""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Clear Evidence)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""2673:cstu:4""}]"
EXTERNAL:NHOWDZOIZKMVAI-UHFFFAOYSA-N,external,ccris,"[""9525:cstu:1"", ""9525:cstu:2""]",60168-88-9,FENARIMOL,Clc1c(C(O)(c2ccc(Cl)cc2)c2cncnc2)cccc1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,NHOWDZOIZKMVAI-UHFFFAOYSA-N,NHOWDZOIZKMVAI,c1ccc(C(c2ccccc2)c2cncnc2)cc1,"[""Negative (nonstatistical increase in hepatocellular adenomas)""]",,uncertain,negative,medium,carcinogenicity,Rat,Oral,"[""[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR FENARIMOL (September 9, 1993)]""]",True,,[0],0,False,False,False,0,0,2,False,False,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (nonstatistical increase in hepatocellular adenomas)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9525:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative (nonstatistical increase in hepatocellular adenomas)"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9525:cstu:2""}]"
EXTERNAL:NIXXQNOQHKNPEJ-UHFFFAOYSA-N,external,ccris,"[""9240:cstu:1"", ""9240:cstu:2"", ""9240:cstu:3"", ""9240:cstu:4""]",150114-71-9,AMINOPYRALID,Clc1c(N)cc(Cl)nc1C(O)=O,Nc1cc(Cl)nc(C(=O)O)c1Cl,Nc1cc(Cl)nc(C(=O)O)c1Cl,NIXXQNOQHKNPEJ-UHFFFAOYSA-N,NIXXQNOQHKNPEJ,c1ccncc1,"[""Negative; Purity was 94.5%""]",,uncertain,negative,medium,carcinogenicity,Mouse|Rat,Oral,"[""[U.S. ENVIRONMENTAL PROTECTION AGENCY; AMINOPYRALID: AGGREGATE HUMAN HEALTH RISK ASSESSMENT FOR THE PROPOSED USES ON WHEAT, GRASSES, NON-CROPLAND AREAS, AND NATURAL AREAS. (JULY 12, 2005)]""]",True,,[0],0,False,False,False,0,0,4,False,False,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Purity was 94.5%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9240:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Purity was 94.5%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9240:cstu:2""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Purity was 94.5%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9240:cstu:3""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative; Purity was 94.5%"", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9240:cstu:4""}]"
EXTERNAL:NTIZESTWPVYFNL-UHFFFAOYSA-N,external,ccris,"[""2052:cstu:1"", ""2052:cstu:2"", ""2052:cstu:3"", ""2052:cstu:4""]",108-10-1,METHYL ISOBUTYL KETONE,O=C(CC(C)C)C,CC(=O)CC(C)C,CC(=O)CC(C)C,NTIZESTWPVYFNL-UHFFFAOYSA-N,NTIZESTWPVYFNL,,"[""Equivocal"", ""Positive (NTP describes as Some Evidence)""]",,uncertain,positive,medium,carcinogenicity,Mouse|Rat,Inhalation,"[""[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-538 Y07]""]",True,,[0],0,False,False,False,0,0,4,False,True,"[{""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Some Evidence)"", ""label_reason"": ""带限制性描述的结果"", ""source"": ""ccris"", ""source_record_id"": ""2052:cstu:1""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""Equivocal"", ""label_reason"": ""带限制性描述的结果"", ""source"": ""ccris"", ""source_record_id"": ""2052:cstu:2""}, {""label_candidate"": ""positive"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Positive (NTP describes as Some Evidence)"", ""label_reason"": ""带限制性描述的结果"", ""source"": ""ccris"", ""source_record_id"": ""2052:cstu:3""}, {""label_candidate"": """", ""label_category"": ""uncertain"", ""label_confidence"": ""none"", ""label_raw"": ""Equivocal"", ""label_reason"": ""带限制性描述的结果"", ""source"": ""ccris"", ""source_record_id"": ""2052:cstu:4""}]"
EXTERNAL:NYPJDWWKZLNGGM-RPWUZVMVSA-N,external,ccris,"[""9516:cstu:1"", ""9516:cstu:2""]",66230-04-4,ESFENVALERATE,Clc1ccc([C@H](C(C)C)C(O[C@@H](c2cc(Oc3ccccc3)ccc2)C#N)=O)cc1,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,NYPJDWWKZLNGGM-RPWUZVMVSA-N,NYPJDWWKZLNGGM,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,"[""Negative. A 350 ppm group was terminated at study day 58 due to self-trauma and infection which also caused decreased survival rates in the 150 ppm group.""]",,uncertain,negative,medium,carcinogenicity,Mouse,Oral,"[""[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR  FENVALERATE AND ESFENVALERATE (February 21, 2001)]""]",True,,[0],0,False,False,False,0,0,2,False,True,"[{""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative. A 350 ppm group was terminated at study day 58 due to self-trauma and infection which also caused decreased survival rates in the 150 ppm group."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9516:cstu:1""}, {""label_candidate"": ""negative"", ""label_category"": ""uncertain"", ""label_confidence"": ""medium"", ""label_raw"": ""Negative. A 350 ppm group was terminated at study day 58 due to self-trauma and infection which also caused decreased survival rates in the 150 ppm group."", ""label_reason"": ""未纳入严格白名单的带方向结果"", ""source"": ""ccris"", ""source_record_id"": ""9516:cstu:2""}]"
